sample,window_days,donut_days,outcome,coef,se,pval,n_hits,nobs,mean_outcome
all_tags,30,0,first_answer_1d,-0.11665538768583093,0.23996301328453792,0.6268685925151074,40,662,0.5876132930513596
all_tags,30,0,accepted_7d,-0.20609838446470582,0.15665955588251348,0.18831460851723714,40,662,0.17673716012084592
all_tags,30,0,accepted_30d,-0.24969948774798598,0.15958930886810038,0.11766782718757769,40,662,0.2175226586102719
all_tags,30,3,first_answer_1d,0.15759398888749954,0.2050532944691696,0.44215968828386953,37,590,0.576271186440678
all_tags,30,3,accepted_7d,-0.06980075982197641,0.18058814455469163,0.6991122897126576,37,590,0.1694915254237288
all_tags,30,3,accepted_30d,-0.2523492332270086,0.2091854025771113,0.22768547217699175,37,590,0.20847457627118643
all_tags,45,0,first_answer_1d,-0.09140242451042027,0.19227113551070069,0.6345140266467828,60,1029,0.577259475218659
all_tags,45,0,accepted_7d,-0.18177189474555053,0.18149076204398235,0.3165614537949799,60,1029,0.17201166180758018
all_tags,45,0,accepted_30d,-0.2352410758513758,0.18743696865372178,0.20946388577573483,60,1029,0.21379980563654033
all_tags,45,3,first_answer_1d,0.026538591522868936,0.18805798918322575,0.8877757821818222,57,957,0.5694879832810867
all_tags,45,3,accepted_7d,-0.09172583363944475,0.18164126455189727,0.6135704554919585,57,957,0.1671891327063741
all_tags,45,3,accepted_30d,-0.21575217952613032,0.19554176351346844,0.2698725931357716,57,957,0.20794148380355276
all_tags,45,7,first_answer_1d,0.014227668192281787,0.35287720575660764,0.9678387788727457,49,865,0.576878612716763
all_tags,45,7,accepted_7d,-0.11215021642610873,0.2785848360799054,0.6872637405304046,49,865,0.16878612716763006
all_tags,45,7,accepted_30d,-0.2463249342543179,0.299908050372537,0.4114555608388186,49,865,0.21040462427745665
all_tags,60,0,first_answer_1d,-0.0781411453167265,0.18208622903869554,0.6678187026012798,89,1399,0.583988563259471
all_tags,60,0,accepted_7d,-0.2334207698862114,0.12453229485295102,0.06087814877587819,89,1399,0.17512508934953538
all_tags,60,0,accepted_30d,-0.24862004002799307,0.12928338444435727,0.054472189937893,89,1399,0.21586847748391708
all_tags,60,3,first_answer_1d,0.04306481780914359,0.14756182820200753,0.770407023010687,86,1327,0.5787490580256217
all_tags,60,3,accepted_7d,-0.1693565307369275,0.11986517190613805,0.1576875104611326,86,1327,0.17181612660135645
all_tags,60,3,accepted_30d,-0.2171495097341196,0.13623553849421458,0.11095237541916479,86,1327,0.21175584024114544
all_tags,60,7,first_answer_1d,-0.009232125818917941,0.22111605371718057,0.9666960815610897,78,1235,0.5846153846153846
all_tags,60,7,accepted_7d,-0.2182214119042242,0.15730582782002536,0.165367670946601,78,1235,0.17327935222672064
all_tags,60,7,accepted_30d,-0.2513114821452206,0.17932927113442135,0.1610954229475906,78,1235,0.21376518218623483
high_tags_only,30,0,first_answer_1d,-0.25546442367410777,0.208071114829413,0.21953160416067785,35,404,0.5841584158415841
high_tags_only,30,0,accepted_7d,-0.1254470784873236,0.19297401300951872,0.5156454606236347,35,404,0.15346534653465346
high_tags_only,30,0,accepted_30d,-0.17611808723064623,0.17894916849830714,0.3250273072548514,35,404,0.1905940594059406
high_tags_only,30,3,first_answer_1d,-0.0072785038981407965,0.24936946721765288,0.9767149463638827,32,363,0.5674931129476584
high_tags_only,30,3,accepted_7d,-0.09855169567640915,0.1658025612920575,0.5522500399578818,32,363,0.15151515151515152
high_tags_only,30,3,accepted_30d,-0.32967488576204396,0.17610156947442016,0.061196589406979585,32,363,0.18732782369146006
high_tags_only,45,0,first_answer_1d,-0.29518924375420796,0.11863703707968132,0.012840195211023465,53,625,0.5632
high_tags_only,45,0,accepted_7d,-0.1635898993272823,0.17890585108595722,0.3605114314371459,53,625,0.144
high_tags_only,45,0,accepted_30d,-0.20145484235695296,0.16790638916746808,0.23021527365634853,53,625,0.1856
high_tags_only,45,3,first_answer_1d,-0.23506201351728898,0.20531192331167492,0.2522497919487555,50,584,0.5513698630136986
high_tags_only,45,3,accepted_7d,-0.14031123053543343,0.14120377010224092,0.32037913700744125,50,584,0.1421232876712329
high_tags_only,45,3,accepted_30d,-0.263309000174757,0.1286911127629949,0.04075103198543162,50,584,0.1832191780821918
high_tags_only,45,7,first_answer_1d,-0.40200022069861185,0.4064883757047443,0.32268334257386,42,515,0.5572815533980583
high_tags_only,45,7,accepted_7d,-0.2404465699935394,0.22480958919220584,0.2848189589802569,42,515,0.13980582524271845
high_tags_only,45,7,accepted_30d,-0.34324565962259423,0.22327403629867723,0.1242127538152886,42,515,0.18058252427184465
high_tags_only,60,0,first_answer_1d,-0.20593916654531996,0.11489259617451787,0.07306100562570206,77,860,0.5767441860465117
high_tags_only,60,0,accepted_7d,-0.2068845310083012,0.1292338577945614,0.10940927231579435,77,860,0.15348837209302327
high_tags_only,60,0,accepted_30d,-0.22329279349172038,0.12315759237658125,0.06982170486831409,77,860,0.19186046511627908
high_tags_only,60,3,first_answer_1d,-0.08645810659052137,0.12487261898085911,0.4887047422923356,74,819,0.568986568986569
high_tags_only,60,3,accepted_7d,-0.17672764685681255,0.10859840149666757,0.10366270966696153,74,819,0.15262515262515264
high_tags_only,60,3,accepted_30d,-0.23933803353286331,0.10382302328031413,0.021152571137478933,74,819,0.19047619047619047
high_tags_only,60,7,first_answer_1d,-0.20086297212962542,0.2354468897277871,0.3935962432777321,66,750,0.5746666666666667
high_tags_only,60,7,accepted_7d,-0.2669999795592451,0.1473709795045989,0.07002419685803221,66,750,0.152
high_tags_only,60,7,accepted_30d,-0.3048531701256282,0.14908210102752473,0.04086790501387558,66,750,0.18933333333333333
