outcome,dropped_tag_1,dropped_tag_2,coef,pval
one_shot_365d,docker,javascript,0.016094661154474228,0.2346983115385033
one_shot_365d,docker,kubernetes,0.02346105539599244,0.13086524939252045
one_shot_365d,docker,linux,0.0219483336984206,0.07454909267411457
one_shot_365d,docker,memory-management,0.023851762851664828,0.05202908602770468
one_shot_365d,docker,multithreading,0.02307106978473465,0.06785826176303608
one_shot_365d,docker,numpy,0.02473338693869989,0.044398727276335134
one_shot_365d,docker,pandas,0.026070893334918493,0.03789182162450565
one_shot_365d,docker,python,0.020417253540661512,0.15844548345592424
one_shot_365d,docker,regex,0.030108105831168484,0.01167152513971105
one_shot_365d,docker,sql,0.031491748269291825,0.003097797657228596
one_shot_365d,excel,firebase,0.026202303129010784,0.0005478253648585189
one_shot_365d,excel,javascript,0.02192946843765742,0.026869234761495227
one_shot_365d,excel,kubernetes,0.027668619678513594,0.0005473216823432869
one_shot_365d,excel,linux,0.026822662257761445,0.00035411905729877636
one_shot_365d,excel,memory-management,0.02744989764258075,0.00028660300232976227
one_shot_365d,excel,multithreading,0.027172010102144893,0.00035288145030014823
one_shot_365d,excel,numpy,0.027912850331136923,0.00022708532955898896
one_shot_365d,excel,pandas,0.028696612624126233,0.00016357289564804568
one_shot_365d,excel,python,0.02416310061455626,0.020167348708240627
one_shot_365d,excel,regex,0.03085736711292234,1.432008139592906e-05
one_shot_365d,excel,sql,0.0321844260792871,4.782259404073553e-08
one_shot_365d,firebase,javascript,0.01957463123000713,0.044040751967114246
one_shot_365d,firebase,kubernetes,0.025066870539973553,0.002117895309633975
one_shot_365d,firebase,linux,0.024357828274828353,0.0015947379816204602
one_shot_365d,firebase,memory-management,0.025086390047104574,0.0010464036449388473
one_shot_365d,firebase,multithreading,0.024749811166821244,0.0013775504427470384
one_shot_365d,firebase,numpy,0.025552965155021146,0.0008003315124784613
one_shot_365d,firebase,pandas,0.026298759867482754,0.0005658160719082123
one_shot_365d,firebase,python,0.021911192497931085,0.03135089319332953
one_shot_365d,firebase,regex,0.028394576840106076,5.4241966845584975e-05
one_shot_365d,firebase,sql,0.02958822584823993,7.457844557906116e-07
one_shot_365d,javascript,kubernetes,0.020658473631251843,0.04151224740036297
one_shot_365d,javascript,linux,0.02026177395453319,0.03628338688899414
one_shot_365d,javascript,memory-management,0.02060430690811893,0.035949110037080755
one_shot_365d,javascript,multithreading,0.020352585349286703,0.03786911974377156
one_shot_365d,javascript,numpy,0.021067731608446442,0.032573736133199985
one_shot_365d,javascript,pandas,0.02176700539533194,0.030723240831828397
one_shot_365d,javascript,python,0.004820762202167076,0.26859970091374663
one_shot_365d,javascript,regex,0.023863875023372443,0.01638575701535776
one_shot_365d,javascript,sql,0.025725868081815022,0.0031185575524569236
one_shot_365d,kubernetes,linux,0.025739353162966962,0.0013411908420971049
one_shot_365d,kubernetes,memory-management,0.026506488456391433,0.0009733546014889079
one_shot_365d,kubernetes,multithreading,0.026192567373892667,0.0012264999694319195
one_shot_365d,kubernetes,numpy,0.02699989291530993,0.0007748778662481293
one_shot_365d,kubernetes,pandas,0.027807512308468948,0.0005825696214412081
one_shot_365d,kubernetes,python,0.02313365757121574,0.030307605088743608
one_shot_365d,kubernetes,regex,0.030089262550188425,7.628022428875172e-05
one_shot_365d,kubernetes,sql,0.03129124757052986,1.8469252901773671e-06
one_shot_365d,linux,memory-management,0.025705617303243652,0.0006865139169100478
one_shot_365d,linux,multithreading,0.025397738285649476,0.0008818956291282191
one_shot_365d,linux,numpy,0.026159674998055455,0.0005307608618720858
one_shot_365d,linux,pandas,0.026898936706520986,0.00037744707034140435
one_shot_365d,linux,python,0.022534663726250945,0.02639750807956419
one_shot_365d,linux,regex,0.028956519945024482,3.642505057479248e-05
one_shot_365d,linux,sql,0.030188424734680926,3.705481276037898e-07
one_shot_365d,memory-management,multithreading,0.026057101196394126,0.0006669888472258935
one_shot_365d,memory-management,numpy,0.026783534858808786,0.000436025274039707
one_shot_365d,memory-management,pandas,0.027522238744946685,0.0003245367848189156
one_shot_365d,memory-management,python,0.022895001134247844,0.02764511184216716
one_shot_365d,memory-management,regex,0.02958209097064567,3.9148089866313154e-05
one_shot_365d,memory-management,sql,0.030808815850343448,4.928046954993861e-07
one_shot_365d,multithreading,numpy,0.02651145886450151,0.0005276479778306862
one_shot_365d,multithreading,pandas,0.027253376175477424,0.000389870306836651
one_shot_365d,multithreading,python,0.022695706973359885,0.028535256764335777
