primary_tag,entry_month,post_chatgpt,exposure_index,high_tag,rate,n_eligible,outcome
android,2020-01,0,-0.5824723369899437,0,0.37049808429118775,2610,return_30d
android,2020-02,0,-0.5824723369899437,0,0.2573044297832234,2122,return_30d
android,2020-03,0,-0.5824723369899437,0,0.24397031539888683,2156,return_30d
android,2020-04,0,-0.5824723369899437,0,0.22397476340694006,2219,return_30d
android,2020-05,0,-0.5824723369899437,0,0.21299638989169675,2216,return_30d
android,2020-06,0,-0.5824723369899437,0,0.20019723865877712,2028,return_30d
android,2020-07,0,-0.5824723369899437,0,0.1996871741397289,1918,return_30d
android,2020-08,0,-0.5824723369899437,0,0.17812852311161217,1774,return_30d
android,2020-09,0,-0.5824723369899437,0,0.17297297297297298,1665,return_30d
android,2020-10,0,-0.5824723369899437,0,0.17647058823529413,1700,return_30d
android,2020-11,0,-0.5824723369899437,0,0.17708333333333334,1536,return_30d
android,2020-12,0,-0.5824723369899437,0,0.1683366733466934,1497,return_30d
android,2021-01,0,-0.5824723369899437,0,0.175,1560,return_30d
android,2021-02,0,-0.5824723369899437,0,0.18110795454545456,1408,return_30d
android,2021-03,0,-0.5824723369899437,0,0.14276228419654716,1506,return_30d
android,2021-04,0,-0.5824723369899437,0,0.15417558886509636,1401,return_30d
android,2021-05,0,-0.5824723369899437,0,0.1669902912621359,1545,return_30d
android,2021-06,0,-0.5824723369899437,0,0.15750169721656485,1473,return_30d
android,2021-07,0,-0.5824723369899437,0,0.15977575332866154,1427,return_30d
android,2021-08,0,-0.5824723369899437,0,0.13525179856115108,1390,return_30d
android,2021-09,0,-0.5824723369899437,0,0.14714285714285713,1400,return_30d
android,2021-10,0,-0.5824723369899437,0,0.12846347607052896,1191,return_30d
android,2021-11,0,-0.5824723369899437,0,0.1433146517213771,1249,return_30d
android,2021-12,0,-0.5824723369899437,0,0.13951473136915077,1154,return_30d
android,2022-01,0,-0.5824723369899437,0,0.14015748031496064,1270,return_30d
android,2022-02,0,-0.5824723369899437,0,0.13928012519561817,1278,return_30d
