primary_tag,entry_month,time_index,post_chatgpt,exposure_index,high_tag,n_eligible_entrants,established_one_shot_share_365d,established_repeat_share_365d,established_total_share_365d,high_post,exposure_post
android,2021-05,17,0,-0.5824723369899437,0,1545,0.458252427184466,0.18058252427184465,0.6388349514563106,0,-0.0
android,2021-06,18,0,-0.5824723369899437,0,1473,0.45553292600135775,0.1846571622539036,0.6401900882552614,0,-0.0
android,2021-07,19,0,-0.5824723369899437,0,1427,0.460406447091801,0.18149964961457604,0.641906096706377,0,-0.0
android,2021-08,20,0,-0.5824723369899437,0,1390,0.4460431654676259,0.15035971223021583,0.5964028776978417,0,-0.0
android,2021-09,21,0,-0.5824723369899437,0,1400,0.4592857142857143,0.17714285714285713,0.6364285714285715,0,-0.0
android,2021-10,22,0,-0.5824723369899437,0,1191,0.4626364399664148,0.1570109151973132,0.6196473551637279,0,-0.0
android,2021-11,23,0,-0.5824723369899437,0,1249,0.5044035228182546,0.15372297838270615,0.6581265012009607,0,-0.0
android,2021-12,24,0,-0.5824723369899437,0,1154,0.46013864818024264,0.17244367417677642,0.6325823223570191,0,-0.0
android,2022-01,25,0,-0.5824723369899437,0,1270,0.4716535433070866,0.15590551181102363,0.6275590551181103,0,-0.0
android,2022-02,26,0,-0.5824723369899437,0,1278,0.44679186228482004,0.15258215962441316,0.5993740219092332,0,-0.0
android,2022-03,27,0,-0.5824723369899437,0,1213,0.4451772464962902,0.14921681780708987,0.59439406430338,0,-0.0
android,2022-04,28,0,-0.5824723369899437,0,1157,0.46240276577355227,0.14606741573033707,0.6084701815038893,0,-0.0
android,2022-05,29,0,-0.5824723369899437,0,1138,0.46045694200351495,0.13971880492091387,0.6001757469244289,0,-0.0
android,2022-06,30,0,-0.5824723369899437,0,1155,0.44761904761904764,0.15930735930735931,0.606926406926407,0,-0.0
android,2022-07,31,0,-0.5824723369899437,0,1137,0.46965699208443273,0.15127528583992964,0.6209322779243623,0,-0.0
android,2022-08,32,0,-0.5824723369899437,0,1266,0.43759873617693523,0.13270142180094788,0.5703001579778831,0,-0.0
android,2022-09,33,0,-0.5824723369899437,0,1118,0.462432915921288,0.13595706618962433,0.5983899821109123,0,-0.0
android,2022-10,34,0,-0.5824723369899437,0,1082,0.455637707948244,0.14602587800369685,0.6016635859519408,0,-0.0
android,2022-11,35,0,-0.5824723369899437,0,1055,0.46161137440758293,0.11279620853080569,0.5744075829383887,0,-0.0
android,2022-11,35,1,-0.5824723369899437,0,32,0.40625,0.125,0.53125,0,-0.5824723369899437
android,2022-12,36,1,-0.5824723369899437,0,938,0.464818763326226,0.12899786780383796,0.593816631130064,0,-0.5824723369899437
android,2023-01,37,1,-0.5824723369899437,0,1081,0.484736355226642,0.11100832562442182,0.5957446808510638,0,-0.5824723369899437
android,2023-02,38,1,-0.5824723369899437,0,951,0.4931650893796004,0.12302839116719243,0.6161934805467929,0,-0.5824723369899437
android,2023-03,39,1,-0.5824723369899437,0,917,0.4961832061068702,0.1297709923664122,0.6259541984732825,0,-0.5824723369899437
