primary_tag,entry_month,time_index,post_chatgpt,exposure_index,high_tag,n_repeaters,high_intensity_repeat_core_share,mean_answers_365d_repeaters,mean_active_months_365d_repeaters,mean_log_answers_365d_repeaters,high_post,exposure_post
android,2020-01,1,0,-0.5824723369899437,0,1192,0.42533557046979864,13.695469798657719,3.728187919463087,2.005685910612161,0,-0.0
android,2020-02,2,0,-0.5824723369899437,0,742,0.2816711590296496,6.2533692722371965,2.8180592991913747,1.6585258934497866,0,-0.0
android,2020-03,3,0,-0.5824723369899437,0,693,0.2352092352092352,5.8354978354978355,2.6695526695526697,1.6127301977072426,0,-0.0
android,2020-04,4,0,-0.5824723369899437,0,618,0.21197411003236247,5.37378640776699,2.483818770226537,1.5679026913401262,0,-0.0
android,2020-05,5,0,-0.5824723369899437,0,570,0.22105263157894736,6.242105263157895,2.5543859649122806,1.5880634846263497,0,-0.0
android,2020-06,6,0,-0.5824723369899437,0,450,0.18444444444444444,5.18,2.3533333333333335,1.5270822153995858,0,-0.0
android,2020-07,7,0,-0.5824723369899437,0,432,0.1550925925925926,4.3657407407407405,2.2962962962962963,1.4668988060213881,0,-0.0
android,2020-08,8,0,-0.5824723369899437,0,386,0.16062176165803108,4.9067357512953365,2.2875647668393784,1.4813630659484762,0,-0.0
android,2020-09,9,0,-0.5824723369899437,0,357,0.1568627450980392,4.42577030812325,2.2829131652661063,1.487156923926104,0,-0.0
android,2020-10,10,0,-0.5824723369899437,0,363,0.17355371900826447,5.545454545454546,2.352617079889807,1.5020535812869997,0,-0.0
android,2020-11,11,0,-0.5824723369899437,0,306,0.13725490196078433,3.7222222222222223,2.2450980392156863,1.403422431029464,0,-0.0
android,2020-12,12,0,-0.5824723369899437,0,323,0.13003095975232198,4.191950464396285,2.2476780185758516,1.4370561091380294,0,-0.0
android,2021-01,13,0,-0.5824723369899437,0,301,0.15946843853820597,4.335548172757475,2.2956810631229234,1.4707001286992134,0,-0.0
android,2021-02,14,0,-0.5824723369899437,0,290,0.1310344827586207,4.13448275862069,2.2551724137931033,1.4317749414205405,0,-0.0
android,2021-03,15,0,-0.5824723369899437,0,269,0.12639405204460966,4.739776951672862,2.275092936802974,1.4391908000057636,0,-0.0
android,2021-04,16,0,-0.5824723369899437,0,230,0.24782608695652175,5.434782608695652,2.526086956521739,1.5204935189650912,0,-0.0
android,2021-05,17,0,-0.5824723369899437,0,279,0.12186379928315412,4.695340501792114,2.2437275985663083,1.4196031085884087,0,-0.0
android,2021-06,18,0,-0.5824723369899437,0,272,0.17279411764705882,4.080882352941177,2.3125,1.445510572487711,0,-0.0
android,2021-07,19,0,-0.5824723369899437,0,259,0.13127413127413126,4.297297297297297,2.332046332046332,1.4337674817806703,0,-0.0
android,2021-08,20,0,-0.5824723369899437,0,209,0.11483253588516747,3.9186602870813396,2.172248803827751,1.3938083380068027,0,-0.0
android,2021-09,21,0,-0.5824723369899437,0,248,0.14112903225806453,3.7661290322580645,2.2903225806451615,1.419334520010762,0,-0.0
android,2021-10,22,0,-0.5824723369899437,0,187,0.12834224598930483,3.8823529411764706,2.2406417112299466,1.3966457305439752,0,-0.0
android,2021-11,23,0,-0.5824723369899437,0,192,0.109375,3.7552083333333335,2.140625,1.4050584273948097,0,-0.0
android,2021-12,24,0,-0.5824723369899437,0,199,0.1306532663316583,4.110552763819095,2.2663316582914574,1.4309547544638193,0,-0.0
android,2022-01,25,0,-0.5824723369899437,0,198,0.12626262626262627,3.813131313131313,2.227272727272727,1.3866111451184537,0,-0.0
android,2022-02,26,0,-0.5824723369899437,0,195,0.1076923076923077,3.2512820512820513,2.128205128205128,1.348740264142636,0,-0.0
android,2022-03,27,0,-0.5824723369899437,0,181,0.14917127071823205,4.011049723756906,2.3370165745856353,1.4453349945458658,0,-0.0
android,2022-04,28,0,-0.5824723369899437,0,169,0.11242603550295859,3.2071005917159763,2.260355029585799,1.3377844547129611,0,-0.0
android,2022-05,29,0,-0.5824723369899437,0,159,0.11320754716981132,3.842767295597484,2.188679245283019,1.3622122125201945,0,-0.0
android,2022-06,30,0,-0.5824723369899437,0,184,0.15760869565217392,4.1521739130434785,2.3043478260869565,1.4254730836363603,0,-0.0
android,2022-07,31,0,-0.5824723369899437,0,172,0.09883720930232558,3.2790697674418605,2.0697674418604652,1.3347135775179908,0,-0.0
android,2022-08,32,0,-0.5824723369899437,0,168,0.125,4.232142857142857,2.2738095238095237,1.4392522517730526,0,-0.0
android,2022-09,33,0,-0.5824723369899437,0,152,0.14473684210526316,4.309210526315789,2.3223684210526314,1.455825106772512,0,-0.0
android,2022-10,34,0,-0.5824723369899437,0,158,0.08860759493670886,4.2405063291139244,2.151898734177215,1.378504966296798,0,-0.0
android,2022-11,35,0,-0.5824723369899437,0,119,0.08403361344537816,3.3781512605042017,2.168067226890756,1.353103432023814,0,-0.0
android,2022-11,35,1,-0.5824723369899437,0,4,0.0,2.0,2.0,1.0986122886681098,0,-0.5824723369899437
android,2022-12,36,1,-0.5824723369899437,0,121,0.14049586776859505,3.8264462809917354,2.322314049586777,1.376382337009607,0,-0.5824723369899437
android,2023-01,37,1,-0.5824723369899437,0,120,0.058333333333333334,3.7333333333333334,1.975,1.3482869321910547,0,-0.5824723369899437
android,2023-02,38,1,-0.5824723369899437,0,117,0.1111111111111111,2.948717948717949,2.1196581196581197,1.297856901749931,0,-0.5824723369899437
android,2023-03,39,1,-0.5824723369899437,0,119,0.08403361344537816,3.310924369747899,2.0756302521008405,1.3415711198514284,0,-0.5824723369899437
android,2023-04,40,1,-0.5824723369899437,0,87,0.12643678160919541,3.839080459770115,2.206896551724138,1.3782507537066901,0,-0.5824723369899437
