agent,prs,repos,first_review_7d,approved_30d,changes_requested_30d,merged_30d,median_first_review_hours,review_cert_gap
Human,6598,816,0.0,0.0,0.0,0.7544710518338891,,0.0
OpenAI_Codex,3449,438,0.32966077123804,0.14149028703972166,0.014786894752102058,0.6691794723108148,0.09166666666666667,0.18817048419831833
Devin,3234,129,0.43413729128014844,0.28076685219542363,0.04638218923933209,0.4941249226963513,0.5079166666666667,0.1533704390847248
Copilot,2453,234,0.5621687729311048,0.38075825519771705,0.10762331838565023,0.4280472890338361,1.13,0.18141051773338773
Cursor,458,87,0.49563318777292575,0.27074235807860264,0.028384279475982533,0.5786026200873362,0.10111111111111111,0.2248908296943231
Claude_Code,203,90,0.4039408866995074,0.22167487684729065,0.019704433497536946,0.5960591133004927,0.19902777777777778,0.18226600985221675
