treated_user_id,control_user_id,first_direct_ai_month_index,first_direct_ai_month,distance
231238,4794,602,2020-03,0.0
4008485,12870,605,2020-06,0.0
4384238,4925548,621,2021-10,0.45799028519127755
205185,1448679,624,2022-01,0.020017442772825057
18564668,3848,629,2022-06,0.0
2195440,10658339,630,2022-07,0.006616335024164697
6598627,4670,630,2022-07,0.0
8992678,18756,630,2022-07,0.0
13570378,147202,636,2023-01,0.5553388112935164
15057914,46407,636,2023-01,0.0
21103982,150684,636,2023-01,0.555347743815678
84592,50959,637,2023-02,0.5456944785192419
10347145,17447,637,2023-02,0.0
17289497,154522,637,2023-02,0.0
21147714,147202,637,2023-02,0.5456864983292761
21294007,261112,637,2023-02,0.5456908639719713
401041,306296,638,2023-03,0.5371399302468209
506796,13130697,638,2023-03,0.08266302403121936
2402272,19966820,638,2023-03,0.1335833810010516
3590155,331059,638,2023-03,0.537155414689757
4287528,896627,638,2023-03,0.537159905909804
7780908,901449,638,2023-03,0.5371643972058711
11259671,942914,638,2023-03,0.5371688885779605
20925777,192221,638,2023-03,0.0
21395907,1012010,638,2023-03,0.5371750369943112
79697,3848,639,2023-04,0.530347520323825
702846,8282898,639,2023-04,8.069283607305875e-06
3297291,293609,639,2023-04,0.0
4038800,900,639,2023-04,0.0
4876561,50065,639,2023-04,0.0
5625534,14058726,639,2023-04,0.028763774073266694
10957844,4516027,639,2023-04,0.0
13086128,235698,639,2023-04,0.001384843740531774
15251837,173937,639,2023-04,0.5303087265175578
17030540,2442613,639,2023-04,0.0
21597554,257299,639,2023-04,0.5302988969143728
21782274,303056,639,2023-04,0.5303034623873264
1011794,3848,640,2023-05,0.5275238095062524
2466958,173937,640,2023-05,0.52752866988464
3836370,257299,640,2023-05,0.5275335303536847
4156301,303056,640,2023-05,0.5275383909133897
6326147,606006,640,2023-05,0.5275432515637584
6580184,807779,640,2023-05,0.5275481123047921
6768645,825372,640,2023-05,0.527552973136494
7265288,899762,640,2023-05,0.5275578340588659
10225861,1291544,640,2023-05,0.5275626950719116
14354807,1394590,640,2023-05,0.5275675561756329
15415267,53341,640,2023-05,0.044306075553207945
16769184,10639,640,2023-05,0.0
20849135,1480299,640,2023-05,0.5275685365627486
21861256,1585410,640,2023-05,0.5275733978617054
407722,24039,641,2023-06,0.531734974860289
775345,19165,641,2023-06,0.0
4510421,32584,641,2023-06,0.5317116379330357
6083423,317052,641,2023-06,0.0
8462112,159508,641,2023-06,0.53169984831487
11248867,220255,641,2023-06,0.5317052142409087
21688300,400119,641,2023-06,0.531710580276606
22049991,607453,641,2023-06,0.5317159464219652
22072225,673859,641,2023-06,0.53172131267699
2929936,63621,642,2023-07,0.533307364845152
13597363,173922,642,2023-07,0.5333131428031986
17785174,230468,642,2023-07,0.5333071919566895
22057982,156613,642,2023-07,0.0
22250178,235921,642,2023-07,0.5332974179361476
1491089,25999,643,2023-08,0.0
4324496,245543,643,2023-08,0.0
15009671,63621,643,2023-08,0.5382351242928395
17237434,1512250,643,2023-08,0.0
21305238,19188004,643,2023-08,0.0
22383968,173922,643,2023-08,0.5382409941779013
22436400,230468,643,2023-08,0.538247297012269
4604579,4799035,644,2023-09,0.049803584332778476
8511812,171461,644,2023-09,0.5476670974816777
9829780,302102,644,2023-09,0.5476671842089995
10697107,437458,644,2023-09,0.5476740407950161
11332999,1025616,644,2023-09,0.5476808975549387
15230451,1106238,644,2023-09,0.0
20436111,1055817,644,2023-09,0.5476905587114512
20779259,199173,644,2023-09,0.0
22527465,1314503,644,2023-09,0.5477089642909319
1514861,65863,645,2023-10,0.002264538535511837
5059740,171461,645,2023-10,0.561318608592449
6216983,302102,645,2023-10,0.561320040927566
8684936,437458,645,2023-10,0.5613207043423064
10612586,997381,645,2023-10,0.5613284005667064
11825651,997934,645,2023-10,0.5613360970049587
15302494,157650,645,2023-10,0.0
1170274,412234,646,2023-11,0.5669137173658172
1601580,2981639,646,2023-11,0.23821259263625635
2513309,1006955,646,2023-11,0.5669023947636699
4474869,18043665,646,2023-11,0.0
6251742,3015186,646,2023-11,0.18900266183146489
8028053,1488641,646,2023-11,0.5668659701409904
8714852,1691599,646,2023-11,0.5668741508743612
11214366,1911036,646,2023-11,0.5668823318470159
15112322,7585973,646,2023-11,0.018025933987102675
17418059,2869814,646,2023-11,0.5668725807385517
17751527,2908420,646,2023-11,0.566880762010536
19765525,2941854,646,2023-11,0.5668889435218334
21607470,3019905,646,2023-11,0.5668971252724543
1067003,107626,647,2023-12,0.0
5459839,8690857,647,2023-12,0.0010319536399177136
6664872,37213,647,2023-12,0.0
7874746,18356681,647,2023-12,0.0
15762591,3649594,647,2023-12,0.5724356499494806
21418758,3659652,647,2023-12,0.5724443320172962
850848,254346,648,2024-01,0.0
2233308,9264230,648,2024-01,0.00369940688361097
3527297,8893686,648,2024-01,0.0019744391411259444
19123103,9586338,649,2024-02,0.15562739897552644
22437609,20712,649,2024-02,0.0
2090322,2684,650,2024-03,0.0
4429265,1564070,650,2024-03,0.0
5296106,6699447,650,2024-03,0.0
1832058,874188,651,2024-04,0.00022154089128918625
6084517,1527,652,2024-05,0.0
12023921,6456163,652,2024-05,0.44398189287235484
22005337,8003,652,2024-05,0.0
23179206,182737,652,2024-05,0.0
22056844,335084,653,2024-06,0.0
5022913,8382028,654,2024-07,0.0
15055605,467509,654,2024-07,0.0
15087115,2793703,654,2024-07,0.0
3915431,8708364,655,2024-08,0.0029386124823772074
4001177,10238,655,2024-08,0.0
6557211,198666,655,2024-08,0.0
13607672,3000206,655,2024-08,0.44565122135511215
17835656,364595,655,2024-08,0.0
19598212,1258059,655,2024-08,0.0
2153306,1267833,660,2025-01,0.0032705989978225832
5811436,59198,663,2025-04,0.0
2705542,3501,664,2025-05,0.0
14868997,5298879,665,2025-06,0.015087056447170944
322084,12704593,666,2025-07,0.0035180723701165985
634919,5382650,666,2025-07,0.0031334485213552854
2314737,633183,668,2025-09,0.0
