rel_month,coef,se,pval,ci_low,ci_high
-18,-0.0008600521863065787,0.003576850749782624,0.8099817621432188,-0.007870679655880522,0.006150575283267364
-17,0.0039026260729653605,0.002082623967133376,0.060944406667201426,-0.00017931690261605623,0.007984569048546778
-16,0.0040248418253350845,0.001921106397569168,0.03616525865391332,0.00025947328609951525,0.007790210364570654
-15,0.002759957077608663,0.0025371508730335267,0.2766756896934679,-0.002212858633537049,0.007732772788754375
-14,-0.002560799599528337,0.003352531557826005,0.44496225975400994,-0.009131761452867307,0.004010162253810633
-13,-0.0006362243027140098,0.002462164974707405,0.7960979429054993,-0.005462067653140523,0.0041896190477125035
-12,-0.0005037084689344224,0.0019906925918213975,0.800243663360966,-0.004405465948904361,0.0033980490110355165
-11,0.0027241311543738447,0.0025046542025293573,0.2767595209641822,-0.002184991082583696,0.007633253391331385
-10,-0.001408135288309398,0.0034625527992907437,0.6842463588968939,-0.008194738774919256,0.0053784681983004585
-9,0.00020863852434226376,0.0032837605296107577,0.9493393258351536,-0.006227532113694821,0.0066448091623793485
-8,0.0022321349816650272,0.0020734437620356177,0.28168801312377534,-0.0018318147919247829,0.006296084755254837
-7,0.004603039012293756,0.0020332263280501343,0.02357972351468848,0.0006179154093154931,0.008588162615272019
-6,0.0005523573191936306,0.003825410239296145,0.8851912053416631,-0.006945446749826814,0.008050161388214076
-5,0.002651925871826134,0.003415025578777919,0.437426426191706,-0.004041524262578588,0.009345376006230855
-4,-0.0010043395038981454,0.004136232285041541,0.8081486659525127,-0.009111354782579566,0.007102675774783275
-3,0.002354905600925153,0.0020189206924589604,0.24344545144046992,-0.0016021789562944097,0.006311990158144716
-2,-0.007897602248335875,0.0040893380012439985,0.0534500809863346,-0.01591270473077411,0.00011750023410236204
0,-0.0044579723158034625,0.00392306425520676,0.2558102993859567,-0.012147178256008712,0.0032312336244017864
1,-0.0035592953581914622,0.0034325012473036564,0.29976415809479096,-0.01028699780290663,0.003168407086523704
2,0.001363512805367383,0.0037832429308851507,0.7185416917199987,-0.006051643339167512,0.008778668949902278
3,0.0007090431730792804,0.0025675969610694342,0.7824324781168157,-0.00432344687061681,0.005741533216775371
