outcome,month_id,low_tag_mean,high_tag_mean,high_minus_low
accepted_vote_30d_rate,2020-01,0.20739182142530413,0.19678409359179497,-0.010607727833509162
accepted_vote_30d_rate,2020-02,0.21011375585508074,0.19492597080984242,-0.015187785045238322
accepted_vote_30d_rate,2020-03,0.2017949173627155,0.19421380077117778,-0.0075811165915377066
accepted_vote_30d_rate,2020-04,0.2137205253995885,0.19695577483919932,-0.016764750560389174
accepted_vote_30d_rate,2020-05,0.20064799814857673,0.1940900453716989,-0.006557952776877818
accepted_vote_30d_rate,2020-06,0.19991677070328756,0.19509127874075158,-0.004825491962535983
accepted_vote_30d_rate,2020-07,0.20846259910375733,0.19458207322566112,-0.013880525878096212
accepted_vote_30d_rate,2020-08,0.2204248684466965,0.19939091650280558,-0.021033951943890933
accepted_vote_30d_rate,2020-09,0.2097652975691534,0.19394832448362587,-0.01581697308552754
accepted_vote_30d_rate,2020-10,0.21606158327265157,0.1983170969923117,-0.017744486280339866
accepted_vote_30d_rate,2020-11,0.21279283417547082,0.19435924096698717,-0.018433593208483645
accepted_vote_30d_rate,2020-12,0.21107187606788927,0.19128622162746406,-0.01978565444042521
accepted_vote_30d_rate,2021-01,0.20937598986379474,0.19294451073985674,-0.016431479123937998
accepted_vote_30d_rate,2021-02,0.21294797687861267,0.1948619036138123,-0.018086073264800356
accepted_vote_30d_rate,2021-03,0.2128845756762337,0.19509119130772212,-0.017793384368511578
accepted_vote_30d_rate,2021-04,0.20498491114340003,0.19236037526167518,-0.012624535881724852
accepted_vote_30d_rate,2021-05,0.20461451885199772,0.1935450122927237,-0.011069506559274023
accepted_vote_30d_rate,2021-06,0.20698137519034784,0.18891722190233334,-0.0180641532880145
accepted_vote_30d_rate,2021-07,0.2065230329722652,0.19328787794109425,-0.013235155031170953
accepted_vote_30d_rate,2021-08,0.20822715689843466,0.19562662998309116,-0.012600526915343496
accepted_vote_30d_rate,2021-09,0.207558937258326,0.19331941544885173,-0.01423952180947427
accepted_vote_30d_rate,2021-10,0.21890678637443886,0.19279945161386458,-0.02610733476057428
accepted_vote_30d_rate,2021-11,0.21512471954599446,0.19308151802430978,-0.02204320152168468
accepted_vote_30d_rate,2021-12,0.19623955431754875,0.1856214459788789,-0.010618108338669857
accepted_vote_30d_rate,2022-01,0.19987341772151893,0.1958705027470904,-0.004002914974428534
accepted_vote_30d_rate,2022-02,0.19528015456803746,0.18299016879985155,-0.012289985768185907
accepted_vote_30d_rate,2022-03,0.19125470351628385,0.18581742714331648,-0.00543727637296737
accepted_vote_30d_rate,2022-04,0.18736415012317048,0.18182636887608067,-0.0055377812470898125
accepted_vote_30d_rate,2022-05,0.18063803342079823,0.1822295603253225,0.0015915269045242708
accepted_vote_30d_rate,2022-06,0.19448413832523576,0.18794529262086515,-0.006538845704370605
accepted_vote_30d_rate,2022-07,0.1904761904761904,0.18780972822827563,-0.0026664622479147804
accepted_vote_30d_rate,2022-08,0.19659313041049986,0.19111683902807028,-0.005476291382429582
accepted_vote_30d_rate,2022-09,0.19208777623242154,0.18771611489609363,-0.004371661336327909
accepted_vote_30d_rate,2022-10,0.2056003652412114,0.19037105384564687,-0.015229311395564521
accepted_vote_30d_rate,2022-11,0.18800371977681335,0.18523887761347888,-0.0027648421633344744
accepted_vote_30d_rate,2022-12,0.19621630671354423,0.188034188034188,-0.008182118679356226
accepted_vote_30d_rate,2023-01,0.19102040816326527,0.19751365167886598,0.006493243515600711
accepted_vote_30d_rate,2023-02,0.1782141533901445,0.19390519187358912,0.015691038483444636
accepted_vote_30d_rate,2023-03,0.19490014265335232,0.19412400865176632,-0.000776134001585993
accepted_vote_30d_rate,2023-04,0.1893150077588118,0.18882544861337683,-0.0004895591454349701
accepted_vote_30d_rate,2023-05,0.18351124233477176,0.19066887376617006,0.007157631431398304
accepted_vote_30d_rate,2023-06,0.1853171774768353,0.18908952187182093,0.0037723443949856383
accepted_vote_30d_rate,2023-07,0.18967954759660696,0.19742572970161867,0.007746182105011712
accepted_vote_30d_rate,2023-08,0.19396763119176064,0.19508752117447764,0.001119889982717004
accepted_vote_30d_rate,2023-09,0.19045020463847198,0.1988887073051152,0.008438502666643227
accepted_vote_30d_rate,2023-10,0.20713688318929468,0.20230782002324424,-0.004829063166050446
accepted_vote_30d_rate,2023-11,0.17797844450917566,0.19242411138977766,0.014445666880602004
accepted_vote_30d_rate,2023-12,0.16440677966101688,0.18919191919191913,0.02478513953090225
accepted_vote_30d_rate,2024-01,0.2041901188242651,0.19854632440886927,-0.005643794415395836
accepted_vote_30d_rate,2024-02,0.1925167892548769,0.1905708605509798,-0.001945928703897093
accepted_vote_30d_rate,2024-03,0.19653979238754318,0.19743115695241795,0.0008913645648747637
accepted_vote_30d_rate,2024-04,0.18188539741219958,0.1919359866985347,0.010050589286335121
accepted_vote_30d_rate,2024-05,0.18296643810898588,0.19769715402998042,0.014730715920994536
accepted_vote_30d_rate,2024-06,0.19300699300699298,0.20693126258268615,0.013924269575693177
accepted_vote_30d_rate,2024-07,0.1848077813802686,0.20703238984534572,0.022224608465077123
