exposure_family,outcome_family,outcome,weight_col,term,coef,se,pval,nobs,formula,mean_outcome
continuous,entrant_composition,novice_entry_share,n_new_answerers,exposure_post,-0.013222648586008542,0.004968137114563527,0.007779558954920515,1145,novice_entry_share ~ exposure_post + C(primary_tag):time_index_harmonized + C(primary_tag) + C(month_id),0.3440219141224207
continuous,first_answer_1d,first_answer_1d_rate,first_answer_1d_denom,exposure_post,-0.013435363598799365,0.008643505020039152,0.12009180789743701,1147,first_answer_1d_rate ~ exposure_post + C(primary_tag):time_index_harmonized + C(primary_tag) + C(month_id),0.6298602884783979
continuous,accepted_30d,accepted_30d_rate,accepted_30d_denom,exposure_post,0.001488425135396682,0.0027048235956319056,0.5821235855915077,1140,accepted_30d_rate ~ exposure_post + C(primary_tag):time_index_harmonized + C(primary_tag) + C(month_id),0.20822205905022464
binary,entrant_composition,novice_entry_share,n_new_answerers,high_post,0.006027656820981263,0.01869519419327436,0.747136467020965,1145,novice_entry_share ~ high_post + C(primary_tag):time_index_harmonized + C(primary_tag) + C(month_id),0.3440219141224207
binary,first_answer_1d,first_answer_1d_rate,first_answer_1d_denom,high_post,0.00842085345118798,0.019096795917177462,0.6592445967312623,1147,first_answer_1d_rate ~ high_post + C(primary_tag):time_index_harmonized + C(primary_tag) + C(month_id),0.6298602884783979
binary,accepted_30d,accepted_30d_rate,accepted_30d_denom,high_post,0.00010649758310911448,0.0034635673608170007,0.975470553627632,1140,accepted_30d_rate ~ high_post + C(primary_tag):time_index_harmonized + C(primary_tag) + C(month_id),0.20822205905022464
