user_id,event_month,direct_ai_events,ask_events,answer_events,question_comment_events,answer_comment_events,distinct_questions,distinct_answers,distinct_tools,high_tag_event_share,mean_exposure_index,first_direct_ai_month,event_month_index,first_direct_ai_month_index,months_since_first_direct_ai,cumulative_direct_ai_events,repeat_direct_ai_month
301514.0,2024-02,1,0,0,1,0,1,0,1,0.0,-2.067518990036933,2024-02,649,649,0,1,0
313935.0,2025-11,1,1,0,0,0,1,0,1,0.0,-0.5824723369899437,2025-11,670,670,0,1,0
317522.0,2023-03,1,1,0,0,0,1,0,1,0.0,-1.5867667726106391,2023-03,638,638,0,1,0
320738.0,2022-11,1,1,0,0,0,1,0,1,0.0,-2.067518990036933,2022-11,634,634,0,1,0
322084.0,2025-07,1,0,1,0,0,1,1,1,1.0,0.484762784788476,2025-07,666,666,0,1,0
328193.0,2023-02,1,0,0,1,0,1,0,1,1.0,0.484762784788476,2023-02,637,637,0,1,0
337294.0,2023-12,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2023-12,647,647,0,1,0
349130.0,2022-12,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2022-12,635,635,0,1,0
349130.0,2023-03,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2022-12,638,635,3,2,1
354577.0,2023-04,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2023-04,639,639,0,1,0
354577.0,2024-08,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2023-04,655,639,16,2,1
374277.0,2023-05,1,0,0,0,1,1,1,1,1.0,1.657307329678494,2023-05,640,640,0,1,0
376947.0,2025-02,1,0,0,0,1,1,1,0,1.0,0.8127371844006236,2025-02,661,661,0,1,0
386861.0,2024-11,1,1,0,0,0,1,0,1,1.0,0.5121987286806099,2024-11,658,658,0,1,0
387194.0,2023-12,2,1,0,0,1,1,1,2,1.0,0.484762784788476,2023-12,647,647,0,2,0
387194.0,2024-12,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2023-12,659,647,12,3,1
395255.0,2025-07,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2025-07,666,666,0,1,0
395857.0,2022-09,5,4,1,0,0,3,1,1,1.0,0.3704293899547944,2022-09,632,632,0,5,0
395857.0,2023-03,1,0,0,1,0,1,0,1,1.0,0.3704293899547944,2022-09,638,632,6,6,1
395857.0,2023-05,1,0,0,0,1,1,1,1,1.0,0.3704293899547944,2022-09,640,632,8,7,1
395857.0,2024-02,2,2,0,0,0,1,0,1,1.0,0.3704293899547944,2022-09,649,632,17,9,1
395857.0,2024-03,4,3,0,0,1,3,1,2,1.0,0.3704293899547944,2022-09,650,632,18,13,1
395857.0,2024-04,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2022-09,651,632,19,14,1
395857.0,2024-07,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2022-09,654,632,22,15,1
395857.0,2024-08,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2022-09,655,632,23,16,1
395857.0,2024-09,4,1,3,0,0,3,3,2,1.0,0.3704293899547944,2022-09,656,632,24,20,1
395857.0,2025-10,1,1,0,0,0,1,0,1,1.0,0.3704293899547944,2022-09,669,632,37,21,1
401041.0,2023-03,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2023-03,638,638,0,1,0
401226.0,2023-12,1,0,1,0,0,1,1,1,1.0,0.3704293899547944,2023-12,647,647,0,1,0
407722.0,2023-06,1,0,1,0,0,1,1,1,1.0,0.484762784788476,2023-06,641,641,0,1,0
419097.0,2025-07,1,1,0,0,0,1,0,1,0.0,-1.5867667726106391,2025-07,666,666,0,1,0
433304.0,2023-10,1,1,0,0,0,1,0,1,1.0,0.484762784788476,2023-10,645,645,0,1,0
