outcome,coef,se,pval,ci_low,ci_high,n_cells,mean_rate,mean_n_eligible
transition_accepted_current_365d,-0.0022316275836783213,0.005200131750161609,0.6678153206537258,-0.012423885813995075,0.007960630646638434,975,0.3290743416425136,654.4082051282052
transition_any_cert_role_365d,0.018608646311973866,0.004109824979533366,5.958854982612721e-06,0.01055338935208847,0.026663903271859263,975,0.7297930996302368,654.4082051282052
transition_first_positive_365d,0.01762090801039125,0.008085550199834427,0.029308760661213625,0.0017732296187157742,0.03346858640206673,975,0.38111282878934416,654.4082051282052
transition_top_score_365d,0.015319768318503136,0.003991693481547326,0.00012408493078279242,0.007496049094670379,0.023143487542335896,975,0.681115761979027,654.4082051282052
