sample,prs,repos,months,ai_share,fix_share
overlap_full,16395,816,8,0.5975602317779811,0.38603232692894174
domain_overlap,11542,543,8,0.5936579448968983,0.3698665742505632
domain_overlap_fixlike,4269,439,8,0.6455844460060904,1.0
strict_domain_overlap_fixlike,2764,253,6,0.7141823444283647,1.0
