outcome,coef,se,pval,n_cells,mean_rate,ci_low,ci_high
return_30d,-0.02166418955347333,0.0063526382304854925,0.0006489942185892897,1152,0.09358126915361788,-0.0341153604852249,-0.009213018621721764
return_90d,-0.023931237647370363,0.006916538747349648,0.0005401714488097927,1128,0.11757402980144176,-0.03748765359217567,-0.010374821702565052
return_180d,-0.025583262482309646,0.007207426958220911,0.0003858616818020747,1084,0.14069696045907895,-0.03970981932042263,-0.01145670564419666
return_365d,-0.026581652645735202,0.0075496287531234595,0.0004300493815092876,975,0.17166018569022107,-0.041378925001857185,-0.011784380289613221
one_shot_365d,0.02658165264573497,0.007549628753123451,0.0004300493815093314,975,0.828339814309779,0.011784380289613006,0.041378925001856935
low_repeat_90d,0.01850673542844136,0.005968130583908463,0.0019291604461638126,1128,0.9488935488414808,0.006809199483980772,0.030204271372901943
