event_month,repeat_flag,events,avg_exposure,high_tag_share,residual_complexity_share,high_exposure_share,repeat_label
2020-01,0,1,0.484762784788476,1.0,1.0,1.0,first
2020-01,1,1,0.484762784788476,1.0,1.0,1.0,repeat
2020-02,0,1,0.3704293899547944,1.0,1.0,1.0,first
2020-03,0,2,0.3704293899547944,1.0,1.0,1.0,first
2020-04,0,1,0.3704293899547944,1.0,1.0,1.0,first
2020-05,0,2,0.3704293899547944,1.0,1.0,1.0,first
2020-05,1,1,0.3704293899547944,1.0,1.0,1.0,repeat
2020-06,0,2,0.3704293899547944,1.0,1.0,1.0,first
2020-07,0,1,0.3704293899547944,1.0,1.0,1.0,first
2020-08,0,3,0.3704293899547944,1.0,1.0,1.0,first
2020-08,1,1,0.3704293899547944,1.0,1.0,1.0,repeat
2020-09,0,1,0.3704293899547944,1.0,1.0,1.0,first
2020-10,0,1,0.3704293899547944,1.0,1.0,1.0,first
2020-11,0,1,-2.067518990036933,0.0,0.0,0.0,first
2020-11,1,1,-2.067518990036933,0.0,0.0,0.0,repeat
2020-12,0,1,0.3704293899547944,1.0,1.0,1.0,first
2020-12,1,1,0.3704293899547944,1.0,1.0,1.0,repeat
2021-02,0,1,0.3704293899547944,1.0,1.0,1.0,first
2021-03,0,2,0.3704293899547944,1.0,1.0,1.0,first
2021-06,0,3,0.3704293899547944,1.0,1.0,1.0,first
2021-07,0,3,0.4085405215660216,1.0,1.0,1.0,first
2021-08,0,2,0.3704293899547944,1.0,1.0,1.0,first
2021-10,0,4,0.42759608737163524,1.0,1.0,1.0,first
2021-11,0,4,0.3990127386632148,1.0,1.0,1.0,first
2021-12,0,2,0.3704293899547944,1.0,1.0,1.0,first
2022-01,0,4,0.07108910146348775,0.75,0.75,0.75,first
2022-02,0,4,0.1757530112679827,0.75,0.75,0.75,first
2022-02,1,1,0.484762784788476,1.0,1.0,1.0,repeat
2022-03,0,4,0.3990127386632148,1.0,1.0,1.0,first
2022-04,0,3,-0.4422200700424481,0.6666666666666666,0.6666666666666666,0.6666666666666666,first
2022-05,0,3,-0.40410893843122087,0.6666666666666666,0.6666666666666666,0.6666666666666666,first
2022-05,1,1,0.3704293899547944,1.0,1.0,1.0,repeat
2022-06,0,2,0.42759608737163524,1.0,1.0,1.0,first
2022-07,0,5,0.4817576278106966,1.0,1.0,1.0,first
2022-08,0,5,0.41616274788826707,1.0,1.0,1.0,first
2022-09,0,3,0.4085405215660216,1.0,1.0,1.0,first
2022-09,1,4,0.3704293899547944,1.0,1.0,1.0,repeat
2022-10,0,4,0.3990127386632148,1.0,1.0,1.0,first
2022-11,0,7,-0.3261272900428421,0.7142857142857143,0.7142857142857143,0.7142857142857143,first
2022-11,1,1,0.3704293899547944,1.0,1.0,1.0,repeat
2022-12,0,42,0.3224870330770952,0.8809523809523809,0.8809523809523809,0.8809523809523809,first
2022-12,1,6,0.4085405215660216,1.0,1.0,1.0,repeat
2023-01,0,54,0.27508484850065984,0.8888888888888888,0.8888888888888888,0.8888888888888888,first
2023-01,1,4,0.3990127386632148,1.0,1.0,1.0,repeat
2023-02,0,69,0.3735485182971562,0.9130434782608695,0.9130434782608695,0.9130434782608695,first
2023-02,1,5,0.45889094884396026,1.0,1.0,1.0,repeat
2023-03,0,92,0.2929800018837737,0.8695652173913043,0.8695652173913043,0.8695652173913043,first
2023-03,1,11,0.21840925174865758,0.9090909090909091,0.9090909090909091,0.9090909090909091,repeat
2023-04,0,107,0.23098020303265,0.8130841121495327,0.8130841121495327,0.822429906542056,first
2023-04,1,6,0.26877913288084554,0.8333333333333334,0.8333333333333334,0.8333333333333334,repeat
2023-05,0,103,0.3193251743146201,0.912621359223301,0.912621359223301,0.912621359223301,first
2023-05,1,6,0.09090661258444226,0.6666666666666666,0.6666666666666666,0.6666666666666666,repeat
2023-06,0,105,0.3489324143241726,0.8857142857142857,0.8857142857142857,0.9238095238095239,first
2023-06,1,42,0.4257696619041977,0.9047619047619048,0.9047619047619048,0.9285714285714286,repeat
2023-07,0,95,0.2988162634595968,0.9052631578947369,0.9052631578947369,0.9052631578947369,first
2023-07,1,51,0.3102435377155306,0.9019607843137255,0.9019607843137255,0.9019607843137255,repeat
2023-08,0,87,0.3466438064952474,0.896551724137931,0.896551724137931,0.9080459770114943,first
2023-08,1,8,0.2976211901358495,0.875,0.875,0.875,repeat
2023-09,0,79,0.3412397550238821,0.8987341772151899,0.8987341772151899,0.8987341772151899,first
2023-09,1,7,0.3867627320738918,1.0,1.0,1.0,repeat
2023-10,0,90,0.3605678389584861,0.9333333333333333,0.9333333333333333,0.9333333333333333,first
2023-10,1,8,0.30848337150354294,0.875,0.875,0.875,repeat
2023-11,0,92,0.31725169589017743,0.9021739130434783,0.9021739130434783,0.9021739130434783,first
2023-11,1,14,0.4142114643769427,1.0,1.0,1.0,repeat
2023-12,0,97,0.33751183820619424,0.9072164948453608,0.9072164948453608,0.9072164948453608,first
2023-12,1,10,0.3818627294381626,1.0,1.0,1.0,repeat
2024-01,0,87,0.3173765303886822,0.9195402298850575,0.9195402298850575,0.9195402298850575,first
2024-01,1,14,0.3186983230064105,0.9285714285714286,0.9285714285714286,0.9285714285714286,repeat
2024-02,0,84,0.189209556064995,0.8214285714285714,0.8214285714285714,0.8214285714285714,first
2024-02,1,11,0.2392224672863252,0.8181818181818182,0.8181818181818182,0.8181818181818182,repeat
2024-03,0,80,0.23204498192144976,0.8375,0.8375,0.8375,first
2024-03,1,12,0.312362807172691,0.9166666666666666,0.9166666666666666,0.9166666666666666,repeat
2024-04,0,97,0.360541929258716,0.9175257731958762,0.9175257731958762,0.9175257731958762,first
2024-04,1,10,0.3818627294381626,1.0,1.0,1.0,repeat
2024-05,0,91,0.26934324177901253,0.8901098901098901,0.8901098901098901,0.8901098901098901,first
2024-05,1,6,0.4179251636711158,1.0,1.0,1.0,repeat
2024-06,0,77,0.1371334077556783,0.8051948051948052,0.8051948051948052,0.8051948051948052,first
2024-06,1,7,0.3867627320738918,1.0,1.0,1.0,repeat
2024-07,0,74,0.3319374733545436,0.8783783783783784,0.8783783783783784,0.8783783783783784,first
2024-07,1,4,0.16078730692703028,0.75,0.75,0.75,repeat
2024-08,0,66,0.3163014220278285,0.8636363636363636,0.8636363636363636,0.8787878787878788,first
2024-08,1,15,0.37805161627703987,1.0,1.0,1.0,repeat
2024-09,0,43,0.2560239414590683,0.8372093023255814,0.8372093023255814,0.8372093023255814,first
2024-09,1,9,0.3831331004918701,1.0,1.0,1.0,repeat
2024-10,0,45,0.3020517078529278,0.8888888888888888,0.8888888888888888,0.8888888888888888,first
2024-10,1,4,0.3990127386632148,1.0,1.0,1.0,repeat
