placebo_month,coef,se,pval
2020-04,0.0026698286651089843,0.0046547507479641455,0.5662583408078639
2020-05,-0.0023546329610682213,0.005037016322297049,0.6401666414650953
2020-06,-0.003173326458292972,0.005425443932542671,0.5586169042157223
2020-07,-0.0037114655792071724,0.004568267942519378,0.4165364429718601
2020-08,-0.0037851758666898345,0.0046261956841970875,0.41324021132661903
2020-09,-0.0018210153561081565,0.004049510883742743,0.6529356200468921
2020-10,-0.0038025079531440187,0.004858537366910522,0.4338358530123333
2020-11,-0.0077557239452400815,0.005915788529844695,0.18985061453495589
2020-12,-0.008627041830481895,0.006903465114973523,0.2114207251224025
2021-01,-0.008370992859724419,0.007281615628647822,0.2503059683289931
2021-02,-0.005628927695705104,0.006845842110292444,0.410940111348145
2021-03,-0.002969325614161692,0.008048729367749372,0.7121884319316432
2021-04,0.0026970177676093445,0.01053501126545074,0.7979468146224834
2021-05,0.006717836508611082,0.008716840372133295,0.44090057633156154
2021-06,0.0013558749422227998,0.006127228330075507,0.8248691028863555
2021-07,0.005540223969669497,0.005707720480989633,0.33172040905015465
2021-08,0.003479929195098177,0.004580496810508411,0.44741751272084995
2021-09,0.0007496133821225746,0.004139749673469207,0.8563071506747219
2021-10,0.001108741014870263,0.004619303707663935,0.810312110605175
2021-11,0.004566363546296961,0.006203160907872284,0.46164857486802746
2021-12,0.010120391623213803,0.007756248868937405,0.1919592861053837
2022-01,0.00831533730782415,0.007305558287138155,0.2550283577068043
2022-02,0.006744283297105131,0.008122758556503705,0.40637218959502197
2022-03,0.009326868391285041,0.00875341540151738,0.286644337440895
2022-04,0.008998362852490697,0.0074393608364884,0.22644728145257076
2022-05,0.005304286995405541,0.005410694704438488,0.326921366910769
2022-06,0.0019372952494152874,0.003968979307835252,0.6254725065628814
2022-07,0.0020679455296608064,0.0029105155009595167,0.477388962574366
2022-08,-3.4582673081417874e-05,0.0033100882933855508,0.9916641259970125
2022-09,-0.004112940292973221,0.004923317761141777,0.40349245719401106
2022-10,-0.008337964199789029,0.00469536505684044,0.0757681726821359
2022-11,-0.009127269853845902,0.004074930329245464,0.025100070438763403
2022-12,-0.008610657085701485,0.005000453030516403,0.08507397564944899
