metric,treated_pre,treated_post,control_pre,control_post,treated_change,control_change,diff_in_diff
ask_questions,0.9825918762088974,1.1094402673350041,0.9641255605381166,0.5853658536585366,0.12684839112610669,-0.37875970687958005,0.5056080980056867
ask_high_tag_share,0.5989684074790458,0.760536261288141,0.7807174887892376,0.3869179600886918,0.16156785380909522,-0.39379952870054585,0.555367382509641
ask_exposure_index_mean,0.25631341670306157,0.2744008876945132,0.31688830303878823,0.20516689862057008,0.018087470991451637,-0.11172140441821815,0.1298088754096698
answer_count_total,0.3230174081237911,0.20133667502088554,0.13004484304932734,0.164079822616408,-0.12168073310290556,0.03403497956708065,-0.1557157126699862
accepted_current_total,0.11992263056092843,0.0785296574770259,0.06995515695067264,0.08869179600886919,-0.04139297308390254,0.018736639058196544,-0.06012961214209908
answer_exposure_index_wavg,0.41491505551782415,0.3603435118672436,0.39591177075625117,0.4034672161255244,-0.054571543650580534,0.007555445369273217,-0.06212698901985375
