feature,treated_mean,control_mean,smd
log_pre_ask_questions,0.9385208943284086,0.8537333482665074,0.20102050625953463
pre_ask_high_tag_share,0.821719070403281,0.885,-0.18776705783323977
pre_ask_exposure_index_mean,0.24337190158034466,0.2886496731586121,-0.09992077720751015
log_pre_answer_count_total,0.10192639605897934,0.06461609151663868,0.08844825210871889
pre_answer_exposure_index_wavg,0.029575341650235263,0.018368504234630066,0.07925007815953575
first_active_month_index,625.6390977443609,625.8609756097561,-0.012602354864276634
