primary_tag,month_id,any_answer_7d_num,any_answer_7d_denom,first_positive_answer_latency_sum,first_positive_answer_latency_denom,accepted_cond_any_answer_30d_num,accepted_cond_any_answer_30d_denom,any_answer_7d_rate,first_positive_answer_latency_mean,accepted_cond_any_answer_30d_rate,time_index,high_post,exposure_post,first_answer_1d_rate_closure,first_answer_1d_denom_closure,accepted_vote_30d_rate,accepted_vote_30d_denom,brand_new_platform_share,low_tenure_existing_share,established_cross_tag_share
android,2020-01,4177,6067,2047323.4751108333,2701,1990,4376,0.688478655018955,757.9872177381834,0.4547531992687386,1.0,0,-0.0,0.6171089500576892,6067.0,0.1926817207845722,6067.0,0.0601532567049808,0.1406130268199233,0.7992337164750958
android,2020-02,3949,5792,1718775.6570647222,2471,1882,4157,0.6818024861878453,695.578978982081,0.4527303343757517,2.0,0,-0.0,0.6084254143646409,5792.0,0.1945787292817679,5792.0,0.0815268614514608,0.1555136663524976,0.7629594721960414
android,2020-03,4050,6088,1974034.4716061112,2422,1896,4261,0.6652431011826544,815.043134436875,0.44496597042947666,3.0,0,-0.0,0.586892247043364,6088.0,0.1859395532194481,6088.0,0.1038961038961039,0.1637291280148423,0.7323747680890538
android,2020-04,4499,6568,2107617.0727219447,2661,2148,4719,0.6849878197320342,792.0394861788593,0.4551811824539097,4.0,0,-0.0,0.6074908647990256,6568.0,0.1939707673568818,6568.0,0.1050022532672375,0.1960342496620099,0.6989634970707526
android,2020-05,4288,6487,1865447.5744286112,2673,2102,4512,0.6610143363650378,697.8853626743776,0.4658687943262411,5.0,0,-0.0,0.5820872514259288,6487.0,0.1842145830121782,6487.0,0.1159747292418772,0.2017148014440433,0.6823104693140795
android,2020-06,3968,5982,1862900.3394969446,2476,1870,4181,0.6633233032430625,752.3830127208985,0.44726142071274816,6.0,0,-0.0,0.5874289535272484,5982.0,0.1852223336676697,5982.0,0.1217948717948717,0.2011834319526627,0.6770216962524654
android,2020-07,3856,5786,1582944.0187677778,2379,1869,4072,0.6664362253715866,665.3821012054551,0.45898821218074654,7.0,0,-0.0,0.582267542343588,5786.0,0.1978914621500173,5786.0,0.1131386861313868,0.1949947862356621,0.691866527632951
android,2020-08,3332,5045,1402525.0487883333,2122,1653,3556,0.6604558969276512,660.9448863281496,0.46484814398200225,8.0,0,-0.0,0.5700693756194252,5045.0,0.2112983151635282,5045.0,0.1358511837655017,0.1927846674182638,0.6713641488162345
android,2020-09,3168,4868,1453487.9622811112,1986,1526,3360,0.6507806080525883,731.8670504940137,0.45416666666666666,9.0,0,-0.0,0.5630649137222679,4868.0,0.1935086277732128,4868.0,0.1459459459459459,0.1783783783783784,0.6756756756756757
android,2020-10,3233,4952,1310406.2083527779,1984,1565,3440,0.6528675282714055,660.4870001778114,0.45494186046511625,10.0,0,-0.0,0.561389337641357,4952.0,0.1989095315024232,4952.0,0.14,0.1823529411764705,0.6776470588235294
android,2020-11,2960,4516,1331628.5945372223,1953,1429,3144,0.6554472984942427,681.83747800165,0.45451653944020354,11.0,0,-0.0,0.5653232949512843,4516.0,0.1877767936226749,4516.0,0.16015625,0.1809895833333333,0.6588541666666666
android,2020-12,2919,4516,1009970.7177144445,1841,1418,3114,0.6463684676705048,548.5989775743859,0.45536287732819525,12.0,0,-0.0,0.562666076173605,4516.0,0.1970770593445527,4516.0,0.14562458249833,0.1783567134268537,0.6760187040748163
