rel_month,coef,se,pval,ci_low,ci_high
-18,0.02466250284071285,0.0072588918030523685,0.0006799027898105915,0.010435074906730207,0.03888993077469549
-17,0.021285419833479244,0.009089276899165335,0.019190140487726957,0.00347043711111519,0.039100402555843294
-16,0.013550564007038114,0.005618365076012552,0.015872505649112925,0.0025385684580535115,0.02456255955602272
-15,0.02418836056391814,0.008761968633317761,0.005769388169491873,0.007014902042615328,0.04136181908522095
-14,0.01890010783151788,0.007083977295782732,0.007630244974020404,0.005015512331783729,0.03278470333125204
-13,0.010316425184093092,0.005341638501309381,0.053443215911594934,-0.00015318627847329437,0.020786036646659477
-12,0.017757809655025422,0.0044710002042729815,7.133889563080173e-05,0.00899464925465038,0.026520970055400467
-11,0.014064764681053513,0.007332512390674475,0.05509361845033757,-0.0003069596046684584,0.028436488966775482
-10,0.008752867452356386,0.007316542567591954,0.23157483935467127,-0.005587555980123844,0.023093290884836616
-9,0.0014325146008204379,0.004613915028081351,0.7561982299997949,-0.00761075885421901,0.010475788055859886
-8,-0.0031862121417920303,0.008685997005157672,0.7137520239698856,-0.020210766271901066,0.013838341988317005
-7,-0.00091264480716019,0.006687394000003628,0.8914478303901197,-0.014019937047167301,0.012194647432846921
-6,0.010058747711729835,0.0048799383371997546,0.039279687765139036,0.0004940685708183165,0.019623426852641353
-5,-0.010497396427042775,0.007111088233569612,0.13988990851189737,-0.024435129364839214,0.0034403365107536638
-4,-0.013702813256352878,0.009143666442443164,0.133974175818661,-0.03162439948354148,0.004218772970835723
-3,0.0005798866421226276,0.008656931976542834,0.946593455786563,-0.016387700031901327,0.017547473316146582
-2,0.00508660371760937,0.006311590331316576,0.42029200820627055,-0.007284113331771119,0.01745732076698986
0,-0.017439375882582403,0.005616438753015887,0.0019024082279049013,-0.02844759583849354,-0.006431155926671265
1,-0.013861941990607883,0.01014994831771856,0.17202826968627638,-0.03375584069333626,0.006031956712120496
2,-0.025567552052008377,0.00704120448883699,0.00028217938954200615,-0.03936831285012887,-0.011766791253887878
3,-0.019639511212778335,0.004695615139928532,2.88293762271597e-05,-0.02884291688703826,-0.010436105538518413
