specification,break_month,variant,term,coef,se,pval
expert_answer_share,2020-07,level_only,exposure_break_post,0.026945705830650247,0.008401304242758803,0.0013397595009767777
expert_answer_share,2020-07,slope_only,exposure_break_slope,-0.007789618703414493,0.0016830611076099832,3.6877806339018085e-06
expert_answer_share,2020-07,level_and_slope,exposure_break_post,0.00329928037490126,0.01100087420201372,0.7642452382579926
expert_answer_share,2020-07,level_and_slope,exposure_break_slope,-0.007099392926590361,0.0015572422326834334,5.140946585637265e-06
expert_answer_share,2020-08,level_only,exposure_break_post,0.02999380058847025,0.00850641370222914,0.0004218521612611836
expert_answer_share,2020-08,slope_only,exposure_break_slope,-0.006803653361335448,0.0015505047980836047,1.1438478446393118e-05
expert_answer_share,2020-08,level_and_slope,exposure_break_post,0.012608482878295711,0.009400840388842537,0.17985291098616074
expert_answer_share,2020-08,level_and_slope,exposure_break_slope,-0.0045874449769092,0.0011520634328580364,6.835565913292655e-05
expert_answer_share,2020-09,level_only,exposure_break_post,0.0325564871243986,0.00917267117692255,0.000386268699452808
expert_answer_share,2020-09,slope_only,exposure_break_slope,-0.006144666104493128,0.001447538233822133,2.1868347891070418e-05
expert_answer_share,2020-09,level_and_slope,exposure_break_post,0.017687170952606,0.010523426562237101,0.09281292900831652
expert_answer_share,2020-09,level_and_slope,exposure_break_slope,-0.003484976931052506,0.001231984636022099,0.00467301406721266
expert_answer_share,2020-10,level_only,exposure_break_post,0.028139393957868165,0.009455019766930424,0.0029190847569564964
expert_answer_share,2020-10,slope_only,exposure_break_slope,-0.005482033134709989,0.0013560289980407599,5.283676408287005e-05
expert_answer_share,2020-10,level_and_slope,exposure_break_post,0.005489429896975308,0.010590542283156318,0.6042257979394849
expert_answer_share,2020-10,level_and_slope,exposure_break_slope,-0.004765447643644717,0.0011828636877617377,5.607712064088196e-05
expert_answer_share,2020-11,level_only,exposure_break_post,0.024886639459084533,0.009525056903776653,0.00898156782440958
expert_answer_share,2020-11,slope_only,exposure_break_slope,-0.004895883925494162,0.0012765057810299341,0.00012537063335323046
expert_answer_share,2020-11,level_and_slope,exposure_break_post,-0.0015220486968728383,0.009402643710917286,0.8714046465262306
expert_answer_share,2020-11,level_and_slope,exposure_break_slope,-0.005069648793917638,0.0009991898689648059,3.900325644158818e-07
expert_answer_share,2020-12,level_only,exposure_break_post,0.018955384035113702,0.009196077876722561,0.03927952213554352
expert_answer_share,2020-12,slope_only,exposure_break_slope,-0.004332866584417872,0.0011929602993824542,0.0002812013455809686
expert_answer_share,2020-12,level_and_slope,exposure_break_post,-0.012993592085075117,0.009022512550926006,0.14983058890060982
expert_answer_share,2020-12,level_and_slope,exposure_break_slope,-0.005644379553114849,0.0011084744507877209,3.542594828045666e-07
expert_answer_share,2021-01,level_only,exposure_break_post,0.014475836819180174,0.009941108052078885,0.14534859115512633
expert_answer_share,2021-01,slope_only,exposure_break_slope,-0.003835781670336092,0.0011279593445490041,0.0006722873553037929
expert_answer_share,2021-01,level_and_slope,exposure_break_post,-0.019063813403937487,0.010335689307714691,0.06511545522741667
expert_answer_share,2021-01,level_and_slope,exposure_break_slope,-0.00554057772010451,0.0010821634570739947,3.0568417800051413e-07
expert_answer_share,2021-02,level_only,exposure_break_post,0.013513759996316876,0.009409675255442578,0.15095800389186023
expert_answer_share,2021-02,slope_only,exposure_break_slope,-0.003445124424311934,0.0010695133698353457,0.0012765171662724617
expert_answer_share,2021-02,level_and_slope,exposure_break_post,-0.016868880417188422,0.008386444860412883,0.04427837563596238
expert_answer_share,2021-02,level_and_slope,exposure_break_slope,-0.00477831892132183,0.0009855856083494762,1.2458499391572328e-06
expert_answer_share,2021-03,level_only,exposure_break_post,0.00956653087742173,0.009040745457912858,0.28998373098007757
expert_answer_share,2021-03,slope_only,exposure_break_slope,-0.003098635391990301,0.0010158428933261185,0.0022860553033264056
expert_answer_share,2021-03,level_and_slope,exposure_break_post,-0.020561264421743053,0.007890526493223578,0.00916555404666968
expert_answer_share,2021-03,level_and_slope,exposure_break_slope,-0.0045444226214476635,0.0009792291589132756,3.470355690100179e-06
expert_answer_share,2021-04,level_only,exposure_break_post,0.011654456630745517,0.009548815698884406,0.22227034799523993
expert_answer_share,2021-04,slope_only,exposure_break_slope,-0.002853004428503977,0.0009697632254987284,0.00326142258498934
expert_answer_share,2021-04,level_and_slope,exposure_break_post,-0.012765300121504203,0.009812299453790243,0.19327594848776397
expert_answer_share,2021-04,level_and_slope,exposure_break_slope,-0.0036368798737364282,0.0010252879513700942,0.0003893799596363808
expert_answer_share,2021-05,level_only,exposure_break_post,0.009739571286265746,0.009399206487102615,0.30010321323420575
expert_answer_share,2021-05,slope_only,exposure_break_slope,-0.002642948891096367,0.0009267939466901824,0.004348455680254815
expert_answer_share,2021-05,level_and_slope,exposure_break_post,-0.013148975328326718,0.010002047526349903,0.18863483430911177
expert_answer_share,2021-05,level_and_slope,exposure_break_slope,-0.0033588547794458756,0.0010181168159618757,0.0009700024181572165
expert_answer_share,2021-06,level_only,exposure_break_post,0.003508130699745767,0.00991127858419355,0.7233738107612966
expert_answer_share,2021-06,slope_only,exposure_break_slope,-0.002432808263428102,0.000896316813418065,0.006643041207942016
expert_answer_share,2021-06,level_and_slope,exposure_break_post,-0.019353562669746447,0.009742396817410869,0.04697451514043198
expert_answer_share,2021-06,level_and_slope,exposure_break_slope,-0.0033610011834139964,0.0009090150903291286,0.00021781068777099709
expert_answer_share,2021-07,level_only,exposure_break_post,0.0028910612283396687,0.010607817508966283,0.785206357735327
expert_answer_share,2021-07,slope_only,exposure_break_slope,-0.002260216546555277,0.000871536246611504,0.009504027479540239
expert_answer_share,2021-07,level_and_slope,exposure_break_post,-0.01724270736259478,0.010598818293181059,0.10376856208187471
expert_answer_share,2021-07,level_and_slope,exposure_break_slope,-0.002990538665152171,0.0008871113024466641,0.0007486936391846506
expert_answer_share,2021-08,level_only,exposure_break_post,0.002506640438171295,0.010903927049652484,0.8181817618665559
expert_answer_share,2021-08,slope_only,exposure_break_slope,-0.0021191255095522332,0.0008578268676381083,0.013498403476143783
expert_answer_share,2021-08,level_and_slope,exposure_break_post,-0.015070641596657134,0.009955464282621446,0.13007504957889127
expert_answer_share,2021-08,level_and_slope,exposure_break_slope,-0.002679610252468024,0.0008002941042796333,0.0008131425872060233
expert_answer_share,2021-09,level_only,exposure_break_post,0.0033736575810284293,0.011013503857682983,0.7593609382470948
expert_answer_share,2021-09,slope_only,exposure_break_slope,-0.002010926318973454,0.0008507318619951619,0.018090506339699657
expert_answer_share,2021-09,level_and_slope,exposure_break_post,-0.011502742090722681,0.009590023580891806,0.2303534894638284
expert_answer_share,2021-09,level_and_slope,exposure_break_slope,-0.0023814548855516228,0.0007682955305631226,0.001937429364031657
expert_answer_share,2021-10,level_only,exposure_break_post,0.0010204162374550354,0.010829309457619223,0.9249286249219185
expert_answer_share,2021-10,slope_only,exposure_break_slope,-0.0019136334339185158,0.0008457018915636615,0.02364953824651247
expert_answer_share,2021-10,level_and_slope,exposure_break_post,-0.012166207786123028,0.009154978206682837,0.1838752964413083
expert_answer_share,2021-10,level_and_slope,exposure_break_slope,-0.002251414558872539,0.000770895762986076,0.003494505814670417
expert_answer_share,2021-11,level_only,exposure_break_post,-0.0006530610626807132,0.008996901649739474,0.9421345098787329
expert_answer_share,2021-11,slope_only,exposure_break_slope,-0.001827900434408938,0.0008370454738562263,0.028980414369347403
expert_answer_share,2021-11,level_and_slope,exposure_break_post,-0.012114525459736361,0.007368554537291698,0.10015877279377611
expert_answer_share,2021-11,level_and_slope,exposure_break_slope,-0.0021168500991143252,0.00079984041504416,0.00813077292829469
expert_answer_share,2021-12,level_only,exposure_break_post,-0.0006738043559842454,0.008568647323687487,0.9373221332935286
expert_answer_share,2021-12,slope_only,exposure_break_slope,-0.0017581948984936781,0.0008273779609031494,0.03358492553560231
expert_answer_share,2021-12,level_and_slope,exposure_break_post,-0.010373525104341736,0.00753785746752608,0.16876277471914636
expert_answer_share,2021-12,level_and_slope,exposure_break_slope,-0.0019695350708660206,0.0008149516150022924,0.01565972856071378
expert_answer_share,2022-01,level_only,exposure_break_post,-0.003115730671729188,0.008326614271794923,0.7082634210186941
expert_answer_share,2022-01,slope_only,exposure_break_slope,-0.0016931442014519503,0.0008185954253794435,0.038606853114927946
expert_answer_share,2022-01,level_and_slope,exposure_break_post,-0.011276710490397083,0.007630168252637296,0.13943157015020627
expert_answer_share,2022-01,level_and_slope,exposure_break_slope,-0.0018846788671124774,0.0008144634982349614,0.020667026284614056
expert_answer_share,2022-02,level_only,exposure_break_post,-0.005346431895576251,0.00807882169738252,0.508109903023917
expert_answer_share,2022-02,slope_only,exposure_break_slope,-0.0016341430251914694,0.0008109206793036974,0.04388683974611966
expert_answer_share,2022-02,level_and_slope,exposure_break_post,-0.011728524604795391,0.007807873435780468,0.13306077115157833
expert_answer_share,2022-02,level_and_slope,exposure_break_slope,-0.0017910046989026477,0.0008128641955781013,0.02757178990842407
expert_answer_share,2022-03,level_only,exposure_break_post,-0.006690141524454421,0.008154690752490175,0.41198579315099626
expert_answer_share,2022-03,slope_only,exposure_break_slope,-0.00158265946467857,0.0008059671862179025,0.049567527200404755
expert_answer_share,2022-03,level_and_slope,exposure_break_post,-0.01143561876795062,0.007959959511024992,0.1508195067969769
expert_answer_share,2022-03,level_and_slope,exposure_break_slope,-0.0016985992997823412,0.0008056284446586479,0.03499508634117873
expert_answer_share,2022-04,level_only,exposure_break_post,-0.006664804107509538,0.00718518369257689,0.35362754039849964
expert_answer_share,2022-04,slope_only,exposure_break_slope,-0.0015428346237130134,0.00080267252613036,0.054590392387788934
expert_answer_share,2022-04,level_and_slope,exposure_break_post,-0.00979892577541052,0.007124876470386103,0.16903483926051177
expert_answer_share,2022-04,level_and_slope,exposure_break_slope,-0.0016103894521217537,0.0008030964033475513,0.04493893647528442
expert_answer_share,2022-05,level_only,exposure_break_post,-0.005864404036155343,0.006818287736365654,0.3897343453016424
expert_answer_share,2022-05,slope_only,exposure_break_slope,-0.0015154293205776122,0.000795284257619407,0.0567126306943768
expert_answer_share,2022-05,level_and_slope,exposure_break_post,-0.007632006582814563,0.006964592526433692,0.27315335600146196
expert_answer_share,2022-05,level_and_slope,exposure_break_slope,-0.001545895683183312,0.0008028355694868235,0.05416126381725051
expert_answer_share,2022-06,level_only,exposure_break_post,-0.0062532011683921074,0.007530194662923722,0.4063030942646625
expert_answer_share,2022-06,slope_only,exposure_break_slope,-0.0014964204989512428,0.0007861114852978051,0.05696583448537845
expert_answer_share,2022-06,level_and_slope,exposure_break_post,-0.0066186724652541615,0.007558302487124221,0.38120271565694286
expert_answer_share,2022-06,level_and_slope,exposure_break_slope,-0.001502011667342462,0.0007885496695397711,0.05680899996934528
expert_answer_share,2022-07,level_only,exposure_break_post,-0.01022838837917462,0.008737988569222708,0.24177345224560953
expert_answer_share,2022-07,slope_only,exposure_break_slope,-0.0014726693400389478,0.0007768518168185456,0.058001198388352375
expert_answer_share,2022-07,level_and_slope,exposure_break_post,-0.009300840638440253,0.008463894669578394,0.27181855260961096
expert_answer_share,2022-07,level_and_slope,exposure_break_slope,-0.00145197778426092,0.0007681707975819516,0.05873446387582333
expert_answer_share,2022-08,level_only,exposure_break_post,-0.00944789613668751,0.008750693753725943,0.2802873957279789
expert_answer_share,2022-08,slope_only,exposure_break_slope,-0.0014607113610206825,0.0007721781031469638,0.058534063557100974
expert_answer_share,2022-08,level_and_slope,exposure_break_post,-0.007238009856033063,0.008300669750450343,0.38321982424001155
expert_answer_share,2022-08,level_and_slope,exposure_break_slope,-0.0014210654346930927,0.0007548945349994737,0.059772387670509214
expert_answer_share,2022-09,level_only,exposure_break_post,-0.008412377162093265,0.009643021790703945,0.38300123129309027
expert_answer_share,2022-09,slope_only,exposure_break_slope,-0.0014622110829884257,0.0007709911891081097,0.05788945495835444
expert_answer_share,2022-09,level_and_slope,exposure_break_post,-0.00483437210831803,0.009194106226961917,0.5990187812921592
expert_answer_share,2022-09,level_and_slope,exposure_break_slope,-0.0014184246715074037,0.0007468724134285574,0.05754441739438432
expert_answer_share,2022-10,level_only,exposure_break_post,-0.011621833995942982,0.00935849964624373,0.21429265177703571
expert_answer_share,2022-10,slope_only,exposure_break_slope,-0.0014614950391754545,0.0007698079201382707,0.05762773423915575
expert_answer_share,2022-10,level_and_slope,exposure_break_post,-0.006938588909818238,0.008337406990386027,0.40528260647743464
expert_answer_share,2022-10,level_and_slope,exposure_break_slope,-0.0013743373551327314,0.0007263453740481748,0.05847412376275476
expert_answer_share,2022-11,level_only,exposure_break_post,-0.01665716521784793,0.010271571151459059,0.10487264013127885
expert_answer_share,2022-11,slope_only,exposure_break_slope,-0.001450475380357011,0.0007662258264175216,0.05835615282426375
expert_answer_share,2022-11,level_and_slope,exposure_break_post,-0.01131586078264614,0.00861494823312401,0.18900958494652131
expert_answer_share,2022-11,level_and_slope,exposure_break_slope,-0.0012691115931057733,0.0006869414576700244,0.06467739567355475
expert_answer_share,2022-12,level_only,exposure_break_post,-0.021073057080360003,0.011031157010637114,0.05609182333789182
expert_answer_share,2022-12,slope_only,exposure_break_slope,-0.0014294297368129653,0.0007623923096914431,0.06080280116324627
expert_answer_share,2022-12,level_and_slope,exposure_break_post,-0.01551772273607845,0.009091889751272213,0.08786566816779295
expert_answer_share,2022-12,level_and_slope,exposure_break_slope,-0.001126683071798232,0.0006538675886453605,0.08486938382828668
novice_entry_share,2020-07,level_only,exposure_break_post,0.015698749905804398,0.00916003964242994,0.08655996872061077
novice_entry_share,2020-07,slope_only,exposure_break_slope,-0.004759096851760637,0.0026436597353865173,0.07183022239061815
novice_entry_share,2020-07,level_and_slope,exposure_break_post,-0.0022013455736398955,0.007674833836002595,0.7742451863537958
novice_entry_share,2020-07,level_and_slope,exposure_break_slope,-0.0052044979156257495,0.0031678500878679463,0.10040120768738012
novice_entry_share,2020-08,level_only,exposure_break_post,0.013728279695680612,0.008172154271026197,0.0929796852360854
novice_entry_share,2020-08,slope_only,exposure_break_slope,-0.0039363103269759005,0.0021914806086855377,0.07246468382416953
novice_entry_share,2020-08,level_and_slope,exposure_break_post,-0.005375978223558634,0.006795907504526047,0.42890832415762825
novice_entry_share,2020-08,level_and_slope,exposure_break_slope,-0.00485378749725406,0.002782425289093162,0.08108154819934436
novice_entry_share,2020-09,level_only,exposure_break_post,0.011705454800254067,0.008206497200765678,0.1537632072099344
novice_entry_share,2020-09,slope_only,exposure_break_slope,-0.003298262139173498,0.0018764683192926512,0.07879913267500047
novice_entry_share,2020-09,level_and_slope,exposure_break_post,-0.008493198747857617,0.006097849046212042,0.16367459400805995
novice_entry_share,2020-09,level_and_slope,exposure_break_slope,-0.004542649691351091,0.0022308003695060484,0.04171705050398245
novice_entry_share,2020-10,level_only,exposure_break_post,0.012379129857109851,0.007799449132843642,0.11247187782221428
novice_entry_share,2020-10,slope_only,exposure_break_slope,-0.0028620611324217896,0.0016345997393268066,0.0799588736879441
novice_entry_share,2020-10,level_and_slope,exposure_break_post,-0.004774681356846778,0.006366047856742069,0.4532409428818621
novice_entry_share,2020-10,level_and_slope,exposure_break_slope,-0.003470145514776838,0.0020001773197223394,0.08275516396141434
novice_entry_share,2020-11,level_only,exposure_break_post,0.01115256317352687,0.007737014180623657,0.1494559846886621
novice_entry_share,2020-11,slope_only,exposure_break_slope,-0.0025122386292387674,0.001449663908404183,0.08309921515490129
novice_entry_share,2020-11,level_and_slope,exposure_break_post,-0.006164385027399927,0.006786717682152875,0.3637190143192415
novice_entry_share,2020-11,level_and_slope,exposure_break_slope,-0.003200290829021516,0.0017669634465167729,0.07011282018808414
novice_entry_share,2020-12,level_only,exposure_break_post,0.010705970822300223,0.007096273559784293,0.1313818461941241
novice_entry_share,2020-12,slope_only,exposure_break_slope,-0.0022387772131971643,0.0012958010496598288,0.08403901419035828
novice_entry_share,2020-12,level_and_slope,exposure_break_post,-0.005735433626165397,0.006642347671611881,0.387881946415329
novice_entry_share,2020-12,level_and_slope,exposure_break_slope,-0.0028051458821974277,0.0016452558242609444,0.0881961586132225
novice_entry_share,2021-01,level_only,exposure_break_post,0.01044619351387038,0.0068526386404135975,0.1274076845327936
novice_entry_share,2021-01,slope_only,exposure_break_slope,-0.0020234590956663867,0.001172639955559258,0.08442683199612788
novice_entry_share,2021-01,level_and_slope,exposure_break_post,-0.004964744995103768,0.006176150670393803,0.4214792813491245
novice_entry_share,2021-01,level_and_slope,exposure_break_slope,-0.0024591877394446893,0.0014573794371882563,0.09152571531741663
novice_entry_share,2021-02,level_only,exposure_break_post,0.010181292429706336,0.006447108931337245,0.11428954959232177
novice_entry_share,2021-02,slope_only,exposure_break_slope,-0.0018531059677004693,0.0010727121518513036,0.0840786202254551
novice_entry_share,2021-02,level_and_slope,exposure_break_post,-0.004108124638463787,0.0053648766534689415,0.44382836016240634
novice_entry_share,2021-02,level_and_slope,exposure_break_slope,-0.0021724604290993426,0.0012991162409833135,0.09447301748453794
novice_entry_share,2021-03,level_only,exposure_break_post,0.009049468372611297,0.006157975467175673,0.1416829873008354
novice_entry_share,2021-03,slope_only,exposure_break_slope,-0.0017067155734708012,0.0009924398374115558,0.08548391196726714
novice_entry_share,2021-03,level_and_slope,exposure_break_post,-0.005018278455605931,0.0038336766371193038,0.19053472735171928
novice_entry_share,2021-03,level_and_slope,exposure_break_slope,-0.002054187726526046,0.0011404463397434086,0.07166918239396387
novice_entry_share,2021-04,level_only,exposure_break_post,0.010621543330068177,0.005055266005344399,0.03563350964313571
novice_entry_share,2021-04,slope_only,exposure_break_slope,-0.00160648435679995,0.0009196918222343481,0.08067832312340215
novice_entry_share,2021-04,level_and_slope,exposure_break_post,-0.0010031518676045694,0.004125782665341586,0.8078952422238974
novice_entry_share,2021-04,level_and_slope,exposure_break_slope,-0.0016676112955343887,0.0011113942569619287,0.13349326841757034
novice_entry_share,2021-05,level_only,exposure_break_post,0.010412540023188012,0.00449004455729728,0.020393506409903357
novice_entry_share,2021-05,slope_only,exposure_break_slope,-0.0015242918048224679,0.0008570415212330086,0.0753134514109258
novice_entry_share,2021-05,level_and_slope,exposure_break_post,-0.0006262022351357504,0.004122035148349268,0.8792533524701571
novice_entry_share,2021-05,level_and_slope,exposure_break_slope,-0.0015582344414191282,0.0010371777253437738,0.13299915519127295
novice_entry_share,2021-06,level_only,exposure_break_post,0.011154359955371838,0.004437450022892051,0.01194764550086764
novice_entry_share,2021-06,slope_only,exposure_break_slope,-0.0014643562680321856,0.0008070261869203748,0.06959940057045781
novice_entry_share,2021-06,level_and_slope,exposure_break_post,0.0012157204912800685,0.0035072441791834646,0.7288683534325038
novice_entry_share,2021-06,level_and_slope,exposure_break_slope,-0.001406278309340839,0.0009300932679697338,0.13054007471803325
novice_entry_share,2021-07,level_only,exposure_break_post,0.011325232015922823,0.0039782563014476345,0.004416346915715151
novice_entry_share,2021-07,slope_only,exposure_break_slope,-0.0014167461234696273,0.0007606928680057205,0.06254085496620354
novice_entry_share,2021-07,level_and_slope,exposure_break_post,0.001898617282582182,0.004614101524262551,0.6807195251256175
novice_entry_share,2021-07,level_and_slope,exposure_break_slope,-0.0013357769354400584,0.0009040567364106703,0.13953184931020135
novice_entry_share,2021-08,level_only,exposure_break_post,0.010592232099059826,0.003964578443149005,0.0075464235085799655
novice_entry_share,2021-08,slope_only,exposure_break_slope,-0.0013747488957521249,0.0007208887147657652,0.05651805173079963
novice_entry_share,2021-08,level_and_slope,exposure_break_post,0.0013992734465595178,0.004738417005537316,0.7677616690215754
novice_entry_share,2021-08,level_and_slope,exposure_break_slope,-0.0013216621799656781,0.0008444162401205428,0.11754105130584677
novice_entry_share,2021-09,level_only,exposure_break_post,0.011011621707323683,0.0033952618967333075,0.0011818197517995818
novice_entry_share,2021-09,slope_only,exposure_break_slope,-0.0013451140880251322,0.0006878545444448104,0.05052159321912744
novice_entry_share,2021-09,level_and_slope,exposure_break_post,0.0026077632903724083,0.003776014523433592,0.4898090133465255
novice_entry_share,2021-09,level_and_slope,exposure_break_slope,-0.0012587005197481531,0.0007765225506132077,0.1050293867166623
novice_entry_share,2021-10,level_only,exposure_break_post,0.011650760554163883,0.0034394535002380913,0.0007056174176739147
novice_entry_share,2021-10,slope_only,exposure_break_slope,-0.0013261352362647658,0.0006588089836206167,0.044122174642453584
novice_entry_share,2021-10,level_and_slope,exposure_break_post,0.003924151969532846,0.004256669712544643,0.35658954310094637
novice_entry_share,2021-10,level_and_slope,exposure_break_slope,-0.001211887058369077,0.0007376380277226478,0.10039758168110348
novice_entry_share,2021-11,level_only,exposure_break_post,0.01085447753907005,0.003203084196111513,0.0007020991675198244
novice_entry_share,2021-11,slope_only,exposure_break_slope,-0.0013105145089611365,0.0006337169864692241,0.03864183624886105
novice_entry_share,2021-11,level_and_slope,exposure_break_post,0.0035558913368581545,0.004137827356943358,0.3901408620203991
novice_entry_share,2021-11,level_and_slope,exposure_break_slope,-0.001220300645861026,0.0006995037261410859,0.08106785794529921
novice_entry_share,2021-12,level_only,exposure_break_post,0.01036077591157179,0.0020810988865689393,6.40749505508695e-07
novice_entry_share,2021-12,slope_only,exposure_break_slope,-0.0012988492067363044,0.0006100638894080809,0.033251116087418014
novice_entry_share,2021-12,level_and_slope,exposure_break_post,0.0035653890593673036,0.003572833896185979,0.31831996392130224
novice_entry_share,2021-12,level_and_slope,exposure_break_slope,-0.001219780797922333,0.0006732872507790208,0.07003571275590707
novice_entry_share,2022-01,level_only,exposure_break_post,0.008145085920558001,0.001958503311047215,3.1987927900061614e-05
novice_entry_share,2022-01,slope_only,exposure_break_slope,-0.0012853087637357458,0.0005881044054271921,0.028851385795173365
novice_entry_share,2022-01,level_and_slope,exposure_break_post,0.0018723783262901451,0.0037943688569241343,0.6216859077834964
novice_entry_share,2022-01,level_and_slope,exposure_break_slope,-0.0012498951681166209,0.0006488537457398657,0.054065348818555695
novice_entry_share,2022-02,level_only,exposure_break_post,0.005473676695939859,0.0020140075061340712,0.00657168491141289
novice_entry_share,2022-02,slope_only,exposure_break_slope,-0.0012700844131787554,0.0005696732331220791,0.02578089565112624
