metric,treated_pre,treated_post,control_pre,control_post,diff_in_diff
answer_count,0.0784143860339962,0.048867887379405395,0.15014090774250963,0.098993869277168,0.02160053981075083
accepted_current,0.032434206208571244,0.01998424886788738,0.06097967962029072,0.03959631167803817,0.008933410601568683
exposure_index,0.23530986302845322,0.23530986302845322,0.3117898603732638,0.3117898603732638,0.0
high_tag_share,0.7719629848395353,0.7719629848395353,0.20635568080688224,0.20635568080688224,0.0
