primary_tag,entry_month,time_index,post_chatgpt,exposure_index,high_tag,rate,n_eligible,high_post,exposure_post,outcome
android,2020-01,1,0,-0.5824723369899437,0,0.5714285714285714,2086,0,-0.0,return_365d
android,2020-02,2,0,-0.5824723369899437,0,0.458307597282273,1619,0,-0.0,return_365d
android,2020-03,3,0,-0.5824723369899437,0,0.4388853704876504,1579,0,-0.0,return_365d
android,2020-04,4,0,-0.5824723369899437,0,0.3984526112185687,1551,0,-0.0,return_365d
android,2020-05,5,0,-0.5824723369899437,0,0.376984126984127,1512,0,-0.0,return_365d
android,2020-06,6,0,-0.5824723369899437,0,0.3277494537509104,1373,0,-0.0,return_365d
android,2020-07,7,0,-0.5824723369899437,0,0.3255463451394122,1327,0,-0.0,return_365d
android,2020-08,8,0,-0.5824723369899437,0,0.3240973971452561,1191,0,-0.0,return_365d
android,2020-09,9,0,-0.5824723369899437,0,0.31733333333333336,1125,0,-0.0,return_365d
android,2020-10,10,0,-0.5824723369899437,0,0.3151041666666667,1152,0,-0.0,return_365d
android,2020-11,11,0,-0.5824723369899437,0,0.30237154150197626,1012,0,-0.0,return_365d
android,2020-12,12,0,-0.5824723369899437,0,0.3191699604743083,1012,0,-0.0,return_365d
android,2021-01,13,0,-0.5824723369899437,0,0.3000997008973081,1003,0,-0.0,return_365d
android,2021-02,14,0,-0.5824723369899437,0,0.314192849404117,923,0,-0.0,return_365d
android,2021-03,15,0,-0.5824723369899437,0,0.2787564766839378,965,0,-0.0,return_365d
android,2021-04,16,0,-0.5824723369899437,0,0.2535832414553473,907,0,-0.0,return_365d
android,2021-05,17,0,-0.5824723369899437,0,0.2826747720364742,987,0,-0.0,return_365d
android,2021-06,18,0,-0.5824723369899437,0,0.28844114528101805,943,0,-0.0,return_365d
android,2021-07,19,0,-0.5824723369899437,0,0.2827510917030568,916,0,-0.0,return_365d
android,2021-08,20,0,-0.5824723369899437,0,0.25211097708082025,829,0,-0.0,return_365d
android,2021-09,21,0,-0.5824723369899437,0,0.2783389450056117,891,0,-0.0,return_365d
android,2021-10,22,0,-0.5824723369899437,0,0.25338753387533874,738,0,-0.0,return_365d
android,2021-11,23,0,-0.5824723369899437,0,0.23357664233576642,822,0,-0.0,return_365d
android,2021-12,24,0,-0.5824723369899437,0,0.2726027397260274,730,0,-0.0,return_365d
android,2022-01,25,0,-0.5824723369899437,0,0.24843161856963614,797,0,-0.0,return_365d
android,2022-02,26,0,-0.5824723369899437,0,0.2545691906005222,766,0,-0.0,return_365d
android,2022-03,27,0,-0.5824723369899437,0,0.2510402219140083,721,0,-0.0,return_365d
android,2022-04,28,0,-0.5824723369899437,0,0.24005681818181818,704,0,-0.0,return_365d
android,2022-05,29,0,-0.5824723369899437,0,0.232796486090776,683,0,-0.0,return_365d
android,2022-06,30,0,-0.5824723369899437,0,0.2624821683309558,701,0,-0.0,return_365d
android,2022-07,31,0,-0.5824723369899437,0,0.24362606232294617,706,0,-0.0,return_365d
android,2022-08,32,0,-0.5824723369899437,0,0.23268698060941828,722,0,-0.0,return_365d
android,2022-09,33,0,-0.5824723369899437,0,0.22720478325859492,669,0,-0.0,return_365d
android,2022-10,34,0,-0.5824723369899437,0,0.24270353302611367,651,0,-0.0,return_365d
android,2022-11,35,0,-0.5824723369899437,0,0.19636963696369636,606,0,-0.0,return_365d
android,2022-11,35,1,-0.5824723369899437,0,0.23529411764705882,17,0,-0.5824723369899437,return_365d
android,2022-12,36,1,-0.5824723369899437,0,0.21723518850987433,557,0,-0.5824723369899437,return_365d
android,2023-01,37,1,-0.5824723369899437,0,0.18633540372670807,644,0,-0.5824723369899437,return_365d
android,2023-02,38,1,-0.5824723369899437,0,0.19965870307167236,586,0,-0.5824723369899437,return_365d
android,2023-03,39,1,-0.5824723369899437,0,0.2073170731707317,574,0,-0.5824723369899437,return_365d
android,2023-04,40,1,-0.5824723369899437,0,0.1870967741935484,465,0,-0.5824723369899437,return_365d
android,2023-05,41,1,-0.5824723369899437,0,0.1836283185840708,452,0,-0.5824723369899437,return_365d
android,2023-06,42,1,-0.5824723369899437,0,0.1831275720164609,486,0,-0.5824723369899437,return_365d
android,2023-07,43,1,-0.5824723369899437,0,0.18284424379232506,443,0,-0.5824723369899437,return_365d
android,2023-08,44,1,-0.5824723369899437,0,0.19907407407407407,432,0,-0.5824723369899437,return_365d
android,2023-09,45,1,-0.5824723369899437,0,0.1770573566084788,401,0,-0.5824723369899437,return_365d
android,2023-10,46,1,-0.5824723369899437,0,0.1865671641791045,402,0,-0.5824723369899437,return_365d
android,2023-11,47,1,-0.5824723369899437,0,0.16716417910447762,335,0,-0.5824723369899437,return_365d
android,2023-12,48,1,-0.5824723369899437,0,0.1893687707641196,301,0,-0.5824723369899437,return_365d
android,2024-01,49,1,-0.5824723369899437,0,0.16712328767123288,365,0,-0.5824723369899437,return_365d
android,2024-02,50,1,-0.5824723369899437,0,0.14868804664723032,343,0,-0.5824723369899437,return_365d
android,2024-03,51,1,-0.5824723369899437,0,0.1437308868501529,327,0,-0.5824723369899437,return_365d
android,2024-04,52,1,-0.5824723369899437,0,0.1509433962264151,265,0,-0.5824723369899437,return_365d
android,2024-05,53,1,-0.5824723369899437,0,0.11486486486486487,296,0,-0.5824723369899437,return_365d
android,2024-06,54,1,-0.5824723369899437,0,0.08823529411764706,238,0,-0.5824723369899437,return_365d
android,2024-07,55,1,-0.5824723369899437,0,0.13953488372093023,258,0,-0.5824723369899437,return_365d
android,2024-08,56,1,-0.5824723369899437,0,0.13122171945701358,221,0,-0.5824723369899437,return_365d
android,2024-09,57,1,-0.5824723369899437,0,0.08620689655172414,232,0,-0.5824723369899437,return_365d
android,2024-10,58,1,-0.5824723369899437,0,0.12043795620437957,274,0,-0.5824723369899437,return_365d
android,2024-11,59,1,-0.5824723369899437,0,0.09859154929577464,213,0,-0.5824723369899437,return_365d
android,2024-12,60,1,-0.5824723369899437,0,0.1111111111111111,171,0,-0.5824723369899437,return_365d
apache-spark,2020-01,1,0,0.6785814699695615,1,0.5748792270531401,207,0,0.0,return_365d
apache-spark,2020-02,2,0,0.6785814699695615,1,0.4779874213836478,159,0,0.0,return_365d
