sample,outcome,coef_is_ai,se_is_ai,pval_is_ai,nobs,n_repos,n_months,n_ai,n_human
overlap_full,first_feedback_7d,0.8266804327227718,0.022850449496008993,1.3572321715308723e-286,16395,816,8,9797,6598
overlap_full,approved_30d,0.24144721110146677,0.030035438855889746,9.07637999633824e-16,16395,816,8,9797,6598
overlap_full,merged_30d,-0.22365965539887353,0.030672017065319624,3.0543839798448537e-13,16395,816,8,9797,6598
overlap_full,review_merge_gap,1.0503400881216451,0.04441277193764587,1.1942291333775216e-123,16395,816,8,9797,6598
domain_overlap,first_feedback_7d,0.8282517062679883,0.02861255047091056,3.0481741057630516e-184,11542,543,8,6852,4690
domain_overlap,approved_30d,0.24798620331531182,0.03783964709047941,5.6163385355989034e-11,11542,543,8,6852,4690
domain_overlap,merged_30d,-0.24551704015372336,0.036288005468393655,1.3258334228985137e-11,11542,543,8,6852,4690
domain_overlap,review_merge_gap,1.0737687464217116,0.05618680850733161,2.057259488403963e-81,11542,543,8,6852,4690
domain_overlap_fixlike,first_feedback_7d,0.8516828230874969,0.027165672696029004,9.300554968971966e-216,4269,439,8,2756,1513
domain_overlap_fixlike,approved_30d,0.2591404628663123,0.04509708584594547,9.122842686153744e-09,4269,439,8,2756,1513
domain_overlap_fixlike,merged_30d,-0.3200663258420051,0.037227355884681845,8.139261651298948e-18,4269,439,8,2756,1513
domain_overlap_fixlike,review_merge_gap,1.171749148929502,0.05140200025711456,5.048073185163368e-115,4269,439,8,2756,1513
strict_domain_overlap_fixlike,first_feedback_7d,0.8763494266355595,0.03184461366074036,1.0246129544650538e-166,2764,253,6,1974,790
strict_domain_overlap_fixlike,approved_30d,0.2557134182636757,0.05953138451018737,1.743481393819526e-05,2764,253,6,1974,790
strict_domain_overlap_fixlike,merged_30d,-0.33543330605192756,0.04233015539304212,2.2958973682197253e-15,2764,253,6,1974,790
strict_domain_overlap_fixlike,review_merge_gap,1.2117827326874884,0.05973023489383542,1.65499827078869e-91,2764,253,6,1974,790
