group,rel_month,users,ask_questions_mean,ask_high_tag_share_mean,ask_exposure_index_mean,answer_count_total_mean,accepted_current_total_mean,answer_exposure_index_wavg_mean
matched_control,-6,1765,0.15384615384615385,0.04253693326541009,0.2977574918145107,0.02292409577177789,0.01273560876209883,0.19563956401080554
matched_control,-5,1765,0.15843097300050943,0.05045726900031536,0.32120027844710003,0.028018339276617423,0.011207335710646969,0.07659146594363793
matched_control,-4,1765,0.16097809475292918,0.05042778583277819,0.27992440183575396,0.023433520122261846,0.008660213958227204,0.2695802030953726
matched_control,-3,1765,0.15282730514518594,0.04924880123555621,0.2407103020593475,0.03922567498726439,0.01782985226693836,0.17812741728104353
matched_control,-2,1765,0.16505348955680083,0.0489289959488635,0.31865003303346007,0.03922567498726439,0.01935812531839022,0.1217348661649452
matched_control,-1,1765,0.69587366276108,0.061130922058074376,0.2762078975018713,0.03718797758532858,0.01273560876209883,0.1174878698018
matched_control,0,1765,0.07692307692307693,0.029206996094413313,0.1602377597745114,0.023942944472745798,0.007641365257259297,0.2568484856843042
matched_control,1,1765,0.05552725420275089,0.02521650534895568,0.2681542090651805,0.03565970453387672,0.013754457463066735,0.23957327880277904
matched_control,2,1765,0.04584819154355578,0.02547121752419766,0.210877997925085,0.021905247070809986,0.010188487009679063,0.22045659719752358
matched_control,3,1765,0.047885888945491596,0.022567498726439122,0.2069483070089513,0.031584309730005096,0.014263881813550688,0.10731755707840598
matched_control,4,1765,0.036678553234844626,0.018424180675836305,0.32145583327674654,0.018848700967906265,0.007641365257259297,0.14671728917762153
matched_control,5,1765,0.04737646459500764,0.02075904228222109,0.022472295442715992,0.011716760061130923,0.004075394803871625,0.18161134413796134
matched_control,6,1765,0.041263372389200206,0.01867889285107828,0.21668516147691544,0.010188487009679063,0.003565970453387672,-0.12219235328848191
treated,-6,1963,0.12124299541518084,0.03951272131943191,0.1996888615697248,0.035150280183392765,0.012226184411614875,0.33477978402701447
treated,-5,1963,0.11716760061130922,0.048195307775120516,0.3317900895346808,0.04737646459500764,0.015282730514518594,0.3551499178905939
treated,-4,1963,0.12531839021905247,0.04867549668874172,0.2682492480207805,0.05501782985226694,0.021905247070809986,0.348571394410193
treated,-3,1963,0.10392256749872644,0.05067923246731194,0.27676860376101137,0.0489047376464595,0.018339276617422313,0.39985342538993307
treated,-2,1963,0.11563932755985736,0.05006792324673119,0.24202133662447234,0.036678553234844626,0.013754457463066735,0.35945564673542457
treated,-1,1963,0.1533367294956699,0.07282143904660461,0.38060167862951527,0.026999490575649515,0.00967906265919511,0.3918669014861097
treated,0,1963,1.227712684666327,0.8968136719792348,0.30763819426882283,0.05909322465613857,0.024961793173713703,0.3958898940093716
treated,1,1963,0.16046867040244522,0.0707202289983747,0.2591329926911548,0.029546612328069283,0.00815078960774325,0.41536928310733
treated,2,1963,0.11462047885888946,0.05218061923359937,0.26191854459101543,0.032093734080489045,0.01273560876209883,0.3986230440655942
treated,3,1963,0.07845134997452878,0.03535096250328038,0.3387786000676915,0.022414671421293938,0.007131940906775344,0.4051675323863147
treated,4,1963,0.05756495160468671,0.027678723042961456,0.1904282506194296,0.030056036678553236,0.008660213958227204,0.375489605289999
treated,5,1963,0.06367804381049415,0.030365330034204205,0.28973840851890864,0.018848700967906265,0.004075394803871625,0.372014782174761
treated,6,1963,0.06062149770759042,0.02764840016495646,0.2382341298621528,0.029546612328069283,0.009169638308711156,0.4125787360082941
