category,events,high_tag_fraction,exposure_index,repeated_high,answer_share
first,783,0.7279693486590039,0.1813293532767724,0.0,0.07790549169859515
repeat,72,0.8055555555555556,0.2738495746229432,0.0,0.09722222222222222
