window_days,n_questions,n_disclosed_ai,n_question_comment_hits,n_answer_comment_hits,n_answer_body_hits,avg_thread_source_count_disclosed,share_disclosed_ai,share_post_ban
7,18730,56,13,19,10,1.4642857142857142,0.002989855846235985,0.49033635878270154
14,37332,102,23,26,26,1.4509803921568627,0.00273224043715847,0.48649951783992285
21,55531,150,28,32,40,1.4666666666666666,0.0027011939277160504,0.4687832021753615
28,72485,198,39,42,58,1.505050505050505,0.0027315996413050975,0.45321100917431195
35,90659,276,52,55,84,1.5036231884057971,0.0030443750758336182,0.45355673457682083
