outcome,treated_delta,control_delta,diff_in_diff,treated_pre,treated_post,control_pre,control_post
ask_questions_mean,0.1291026853940761,-0.1976202605341678,0.3267229459282439,0.12277126846663271,0.2518739538607088,0.2478349465104432,0.05021468597627538
ask_high_tag_share_mean,0.1113067326650494,-0.027551641675431792,0.13885837434048118,0.05165868675732365,0.16296541942237305,0.05045511789016628,0.02290347621473449
ask_exposure_index_mean,0.007539401028728909,-0.09151765120735428,0.09905705223608319,0.2902000923895616,0.29773949341829054,0.28770411322165934,0.19618646201430506
answer_count_total_mean,-0.010030808044053076,-0.009691191810397109,-0.000339616233655967,0.04168789268127016,0.03165708463721709,0.03166921378841909,0.02197802197802198
accepted_current_total_mean,-0.004499915095941585,-0.005021468597627539,0.0005215535016859542,0.015197826456104601,0.010697911360163017,0.013754457463066735,0.008732988865439197
answer_exposure_index_wavg_mean,0.034035739784871344,-0.004169517361619163,0.03820525714649051,0.3633892949015752,0.3974250346864465,0.15970752632357477,0.1555380089619556
