specification,coef,pval,wild_cluster_bootstrap_pval,nobs
accepted_vote_7d_primary,0.005491836773286602,0.03340772408338663,0.17794486215538846,1147
accepted_vote_7d_fractional,0.005993787034666865,0.00891519628251568,0.10526315789473684,1152
accepted_vote_30d_primary,0.009133906533247872,0.0015983037997761972,0.05012531328320802,1140
first_answer_1d_primary,-0.03253075449220413,0.001914102180839473,0.045112781954887216,1147
accepted_answer_created_7d_primary,-0.0134144615535993,0.022705894663213374,0.07017543859649122,1147
accepted_archive_primary,-0.007743755194330726,0.19004138179280672,0.19548872180451127,1147
