specification,outcome,break_month,coef_level,pval_level,coef_slope,pval_slope,directional_coef
durability_return_365d,rate,2020-07,0.010952588279912622,0.11467466322021608,-0.00014706328472161582,0.9494513378680379,0.00014706328472161582
durability_return_365d,rate,2020-08,0.01114919149874119,0.0664815354643807,-0.0003054150895478441,0.8659993503388511,0.0003054150895478441
durability_return_365d,rate,2020-09,0.00878946423486765,0.13542150137028788,-0.000752970437296028,0.6095252200852992,0.000752970437296028
durability_return_365d,rate,2020-10,0.006067316026581803,0.3056739833936295,-0.0011012318280867667,0.3754109686844218,0.0011012318280867667
durability_return_365d,rate,2020-11,0.005884047889120695,0.22968058081245124,-0.0010884022228704222,0.24349487632524514,0.0010884022228704222
durability_return_365d,rate,2020-12,0.003132329367870469,0.4988222212447567,-0.0013027491905069173,0.1035395844735369,0.0013027491905069173
durability_return_365d,rate,2021-01,0.004319480774692357,0.14494455400497785,-0.00114300523075411,0.05994142245241683,0.00114300523075411
durability_return_365d,rate,2021-02,0.005366850319112611,0.1266498346270123,-0.001041031935905912,0.048801022724046544,0.001041031935905912
durability_return_365d,rate,2021-03,0.008137543439844576,0.009168058106558371,-0.0008666472386833111,0.02786440245054847,0.0008666472386833111
durability_return_365d,rate,2021-04,0.005289712717398525,0.05128072205298095,-0.001057592486669824,0.0033920785129332737,0.001057592486669824
durability_return_365d,rate,2021-05,0.005848533664761884,0.003144692183399806,-0.0010354370350188595,0.004759805390189152,0.0010354370350188595
durability_return_365d,rate,2021-06,0.005469247582520583,0.0032810492748275655,-0.001067139899218119,0.001629061280407232,0.001067139899218119
durability_return_365d,rate,2021-07,0.004716929582773202,0.05576634009358487,-0.0011035485502447074,0.00035838313798516424,0.0011035485502447074
durability_return_365d,rate,2021-08,0.0034964254987980216,0.1215856655353754,-0.0011462555259974122,0.00020403761817947642,0.0011462555259974122
durability_return_365d,rate,2021-09,0.0034417135453845373,0.05003513582025549,-0.0011501142349702594,0.00023961503782388613,0.0011501142349702594
durability_return_365d,rate,2021-10,0.003209565522213572,0.07252958016408542,-0.0011589815480141854,0.00037639012834146223,0.0011589815480141854
durability_return_365d,rate,2021-11,0.0019790160666562887,0.17405824361169875,-0.0011849107470376697,0.00040338153591416647,0.0011849107470376697
durability_return_365d,rate,2021-12,0.0012833401202612396,0.5123212842582143,-0.0011928232167896175,0.0004871899290036838,0.0011928232167896175
durability_return_365d,rate,2022-01,0.0022780962603108526,0.16848616356194235,-0.0011818483847386304,0.000327981018400663,0.0011818483847386304
durability_return_365d,rate,2022-02,-7.771342858332403e-05,0.9685481648028645,-0.0012058250373898627,0.00015819946477941974,0.0012058250373898627
durability_return_365d,rate,2022-03,-0.00021494286539916176,0.9192975539871096,-0.0012030665634512301,0.0001302512063392499,0.0012030665634512301
durability_return_365d,rate,2022-04,-0.001451227510859218,0.39466545170734535,-0.0012014317978053892,0.00010130704347177875,0.0012014317978053892
durability_return_365d,rate,2022-05,-0.004506108994991428,0.046995397552151714,-0.0011819691030884657,8.418895248638797e-05,0.0011819691030884657
durability_return_365d,rate,2022-06,-0.005967913366043356,0.039488955578578434,-0.0011450533339554497,8.194812328672979e-05,0.0011450533339554497
durability_return_365d,rate,2022-07,-0.006787310596115701,0.020998678328682623,-0.0011032604964683486,9.649554479230569e-05,0.0011032604964683486
