primary_tag,entry_month,time_index,post_chatgpt,exposure_index,high_tag,n_eligible_entrants,established_one_shot_share_365d,established_repeat_high_intensity_share_365d,established_repeat_low_intensity_share_365d,established_repeat_total_share_365d,high_post,exposure_post
android,2020-01,1,0,-0.5824723369899437,0,2610,0.3425287356321839,0.19425287356321838,0.2624521072796935,0.4567049808429119,0,-0.0
android,2020-02,2,0,-0.5824723369899437,0,2122,0.41328934967012254,0.09849198868991517,0.2511781338360038,0.34967012252591895,0,-0.0
android,2020-03,3,0,-0.5824723369899437,0,2156,0.4109461966604824,0.07560296846011132,0.24582560296846012,0.32142857142857145,0,-0.0
android,2020-04,4,0,-0.5824723369899437,0,2219,0.42045966651644884,0.05903560162235241,0.21946822893195134,0.2785038305543037,0,-0.0
android,2020-05,5,0,-0.5824723369899437,0,2216,0.4250902527075812,0.05685920577617329,0.2003610108303249,0.2572202166064982,0,-0.0
android,2020-06,6,0,-0.5824723369899437,0,2028,0.4551282051282051,0.040927021696252466,0.1809664694280079,0.22189349112426038,0,-0.0
android,2020-07,7,0,-0.5824723369899437,0,1918,0.46663190823774764,0.034932221063607924,0.1903023983315954,0.22523461939520334,0,-0.0
android,2020-08,8,0,-0.5824723369899437,0,1774,0.45377677564825253,0.03494926719278467,0.1826381059751973,0.217587373167982,0,-0.0
android,2020-09,9,0,-0.5824723369899437,0,1665,0.46126126126126127,0.033633633633633635,0.18078078078078078,0.21441441441441442,0,-0.0
android,2020-10,10,0,-0.5824723369899437,0,1700,0.4641176470588235,0.03705882352941176,0.17647058823529413,0.21352941176470588,0,-0.0
android,2020-11,11,0,-0.5824723369899437,0,1536,0.4596354166666667,0.02734375,0.171875,0.19921875,0,-0.0
android,2020-12,12,0,-0.5824723369899437,0,1497,0.46025384101536404,0.028056112224448898,0.18770875083500335,0.21576486305945225,0,-0.0
android,2021-01,13,0,-0.5824723369899437,0,1560,0.45,0.03076923076923077,0.1621794871794872,0.19294871794871796,0,-0.0
android,2021-02,14,0,-0.5824723369899437,0,1408,0.44957386363636365,0.026988636363636364,0.17897727272727273,0.2059659090909091,0,-0.0
android,2021-03,15,0,-0.5824723369899437,0,1506,0.46215139442231074,0.02257636122177955,0.15604249667994688,0.17861885790172644,0,-0.0
android,2021-04,16,0,-0.5824723369899437,0,1401,0.483226266952177,0.04068522483940043,0.12348322626695217,0.1641684511063526,0,-0.0
android,2021-05,17,0,-0.5824723369899437,0,1545,0.458252427184466,0.022006472491909384,0.15857605177993528,0.18058252427184465,0,-0.0
