family,outcome,term,coef,se,pval,nobs,mean_outcome
binary,high_intensity_repeat_core_share,high_post,0.007604270794962826,0.011570132751181733,0.5110312354962382,923,0.12943234458853176
continuous,high_intensity_repeat_core_share,exposure_post,0.012299949410460096,0.009581387221100253,0.19923515807766523,923,0.12943234458853176
binary,mean_answers_365d_repeaters,high_post,1.6930278872284976,2.0297310388456746,0.4042165214347565,923,4.830213004385109
continuous,mean_answers_365d_repeaters,exposure_post,1.4445175450765169,0.9180362983392525,0.11560625640659125,923,4.830213004385109
binary,mean_active_months_365d_repeaters,high_post,0.06780801069500111,0.09339136893159704,0.4678001947517013,923,2.254468930634746
continuous,mean_active_months_365d_repeaters,exposure_post,0.09370836548980757,0.0527599814836486,0.07571218099901551,923,2.254468930634746
binary,mean_log_answers_365d_repeaters,high_post,0.010649702167985345,0.026423061122094638,0.686914577535638,923,1.4085396081744492
continuous,mean_log_answers_365d_repeaters,exposure_post,0.008911060711841733,0.012120159248951861,0.4622016405133318,923,1.4085396081744492
