sample,spec,y,x,coef,se_hac,pval_hac,r2,nobs,maxlags_hac
full_2020_2025,ts_a,internal_ai_title_log_hits,chatgpt_z_sample,-0.23499473903677437,0.14976531140682897,0.11662776826986126,0.16167083845908115,72,6
full_2020_2025,ts_b,internal_ai_title_log_hits,chatgpt_z_sample,0.43049275568719364,0.1677893310802318,0.010297550328667353,0.6129927393937484,72,6
full_2020_2025,ts_a,internal_chatgpt_title_log_hits,chatgpt_z_sample,0.5577956191370688,0.1451967760672967,0.00012220856055434318,0.4723569975585149,72,6
full_2020_2025,ts_b,internal_chatgpt_title_log_hits,chatgpt_z_sample,1.0774964291192886,0.2631951749532787,4.2416547333658e-05,0.6150879427990852,72,6
full_2020_2025,ts_a,internal_ai_title_rate,chatgpt_z_sample,0.0017635989518237786,0.00027453760208248596,1.3283649678124624e-10,0.6227782013555061,72,6
full_2020_2025,ts_b,internal_ai_title_rate,chatgpt_z_sample,0.000488728923427001,0.00038655801189652246,0.20611900132031902,0.7360591195077104,72,6
full_2020_2025,ts_a,internal_chatgpt_title_rate,chatgpt_z_sample,0.0001432061894120608,2.284422943655443e-05,3.63812053306772e-10,0.32902053187429303,72,6
full_2020_2025,ts_b,internal_chatgpt_title_rate,chatgpt_z_sample,0.00014047432968403807,4.394881127121728e-05,0.0013919412414868063,0.32906220992645363,72,6
post_chatgpt,ts_a,internal_ai_title_log_hits,chatgpt_z_sample,-0.0674579027878271,0.08881076205192004,0.4475122478973439,0.008745296922491597,38,6
post_chatgpt,ts_b,internal_ai_title_log_hits,chatgpt_z_sample,0.0897701437324541,0.02368391938071696,0.0001504402751145402,0.8176672869820354,38,6
post_chatgpt,ts_a,internal_chatgpt_title_log_hits,chatgpt_z_sample,0.2223920794779151,0.08598193909696014,0.009695684443461453,0.0700162778079968,38,6
post_chatgpt,ts_b,internal_chatgpt_title_log_hits,chatgpt_z_sample,0.35880936615331965,0.05677833298246111,2.624501012591062e-10,0.518593190558069,38,6
post_chatgpt,ts_a,internal_ai_title_rate,chatgpt_z_sample,0.0005024598021223412,0.00014617693430689488,0.0005874579948450615,0.06658829871872751,38,6
post_chatgpt,ts_b,internal_ai_title_rate,chatgpt_z_sample,0.00017432682979185094,6.142359198495219e-05,0.00453817272345299,0.550128663445985,38,6
post_chatgpt,ts_a,internal_chatgpt_title_rate,chatgpt_z_sample,5.793666049321749e-05,1.7238513426517267e-05,0.0007769317829247202,0.040698815970008684,38,6
post_chatgpt,ts_b,internal_chatgpt_title_rate,chatgpt_z_sample,5.634137287993377e-05,2.0203509553024005e-05,0.005292130793134299,0.041224216563814586,38,6
