month_id,questions,ai_title_hits,internal_ai_title_rate,high_tag_rate,low_tag_rate,internal_ai_title_log_hits,internal_ai_title_z
2020-01,49054.0,4.0,8.154278957883149e-05,0.00010492353697243133,0.0,1.6094379124341003,-0.831923023426721
2020-02,48419.0,4.0,8.261219769098907e-05,0.00010537963011749828,0.0,1.6094379124341003,-0.8313791825723289
2020-03,53527.0,2.0,3.7364320810058474e-05,4.731152272135879e-05,0.0,1.0986122886681098,-0.8543897093699091
2020-04,62700.0,6.0,9.569377990430622e-05,0.00011985138428348847,0.0,1.9459101490553132,-0.8247266251746328
2020-05,64537.0,4.0,6.197994948634116e-05,7.755845968899057e-05,0.0,1.6094379124341003,-0.8418715842701302
2020-06,59726.0,2.0,3.348625389277701e-05,4.1919054306134855e-05,0.0,1.0986122886681098,-0.8563618762178198
2020-07,58227.0,4.0,6.869665275559448e-05,8.579456491431267e-05,0.0,1.6094379124341003,-0.8384558465334125
2020-08,51964.0,2.0,3.8488184127472866e-05,4.795933048774639e-05,0.0,1.0986122886681098,-0.8538181756590515
2020-09,48905.0,0.0,0.0,0.0,0.0,0.0,-0.8733911026846874
2020-10,49544.0,2.0,4.036815759728726e-05,2.5043199519170568e-05,0.00010402579839800271,1.0986122886681098,-0.8528621268256502
2020-11,47178.0,4.0,8.478528127517063e-05,5.1988562516246424e-05,0.00022967386311437759,1.6094379124341003,-0.8302740744104857
2020-12,47637.0,3.0,6.297625795075257e-05,7.720417931957384e-05,0.0,1.3862943611198906,-0.8413649177876492
2021-01,49695.0,5.0,0.00010061374383740819,0.00012430389817024662,0.0,1.791759469228055,-0.8222246080695279
2021-02,45979.0,2.0,4.349811870636595e-05,5.357764740550242e-05,0.0,1.0986122886681098,-0.851270404540749
2021-03,50918.0,4.0,7.855768097725755e-05,9.701202949165696e-05,0.0,1.6094379124341003,-0.8334410818684675
2021-04,47640.0,3.0,6.297229219143577e-05,7.753340397487917e-05,0.0,1.3862943611198906,-0.8413669345499222
2021-05,47119.0,4.0,8.489144506462361e-05,0.00010461892556363446,0.0,1.6094379124341003,-0.8302200854746388
2021-06,45008.0,2.0,4.443654461429079e-05,5.483809053768748e-05,0.0,1.0986122886681098,-0.8507931738729174
2021-07,44187.0,3.0,6.789327177676693e-05,8.38316660146426e-05,0.0,1.3862943611198906,-0.8388644009411833
2021-08,43134.0,1.0,2.3183567487364956e-05,2.8659043361132604e-05,0.0,0.6931471805599453,-0.861601243409404
2021-09,41547.0,1.0,2.4069126531398175e-05,2.9824038174768865e-05,0.0,0.6931471805599453,-0.8611508978569002
2021-10,41127.0,4.0,9.725970773457826e-05,0.00011921437725389682,0.0,1.6094379124341003,-0.823930282300991
2021-11,41226.0,7.0,0.0001697957599573085,0.00020802995631370917,0.0,2.0794415416798357,-0.7870425233934513
2021-12,39186.0,5.0,0.00012759659061909866,0.00015622070861713428,0.0,1.791759469228055,-0.8085026489027154
2022-01,41754.0,2.0,4.78996024332998e-05,2.95386069592958e-05,0.00012658227848101267,1.0986122886681098,-0.8490320573247185
2022-02,39592.0,6.0,0.0001515457668215801,0.00015457861868546343,0.0001380071763731714,1.9459101490553132,-0.7963234440698049
2022-03,41918.0,11.0,0.0002624171000524834,0.0003215340095290988,0.0,2.4849066497880004,-0.7399405160684179
