window,months,questions,exposure_index,high_tag_share,first_answer_1d_rate,accepted_30d_rate,novice_entry_share,residual_exposure,residual_high_tag
post,21,14013,-0.5824723369899437,0.0,0.38701213476092605,0.1707126081584437,0.5196774729991602,-0.5824723369899437,0.0
pre,51,182103,-0.5824723369899437,0.0,0.531155356470055,0.18588732149473747,0.374837016159158,-0.5824723369899437,0.0
