rel_month,coef,se,pval,ci_low,ci_high
-18,-0.011692268461405718,0.00587578931223079,0.046601290285125656,-0.023208815513378066,-0.00017572140943336936
-17,-0.006726894608113244,0.004151403889899169,0.105148461528523,-0.014863646232315616,0.001409857016089127
-16,-0.011069695898112155,0.005534219847405647,0.045475758821101143,-0.021916766799027224,-0.00022262499719708645
-15,-0.011969720731195399,0.005143988971601463,0.019968800024555255,-0.022051939115534266,-0.0018875023468565323
-14,-0.005211996026042033,0.005512992730311056,0.3444535266811297,-0.016017461777451704,0.005593469725367636
-13,-0.0052844379321012325,0.008175951836526136,0.5180597251583094,-0.02130930353169246,0.010740427667489994
-12,0.001542160552840989,0.004749992885237579,0.7454339714020395,-0.007767825502224665,0.010852146607906643
-11,0.002828288865170711,0.0068683490183437165,0.6804964015007147,-0.010633675210782973,0.016290252941124395
-10,0.00038095034823999036,0.004220906292246177,0.9280860001735287,-0.007892025984562517,0.008653926681042498
-9,-0.006375084998307294,0.005758735129148428,0.26828152493986235,-0.017662205851438212,0.0049120358548236254
-8,0.008441677678587743,0.007527546687968235,0.2621014247756307,-0.006312313829829996,0.023195669187005483
-7,0.005627145513941216,0.002520872342512922,0.025600325218797352,0.0006862357226158893,0.010568055305266543
-6,-0.001471217192827036,0.00336491025243226,0.6619494075614951,-0.008066441287594265,0.005124006901940194
-5,0.01403325001862371,0.005138493721295281,0.0063141589255687495,0.00396180232488496,0.024104697712362462
-4,-0.0036812981803175868,0.005020272161685943,0.4633836612347074,-0.013521031617222035,0.006158435256586861
-3,0.00436868369349961,0.003476989282874814,0.20895072586114616,-0.002446215300935025,0.011183582687934245
-2,0.004499052745278259,0.007171584335307655,0.5304335532044906,-0.009557252551924744,0.018555358042481263
0,0.011243179199557259,0.006598555934214267,0.08840261007002519,-0.001689990431502704,0.02417634883061722
1,-0.003001200121954019,0.004704591213378626,0.5235192135378988,-0.012222198900176125,0.006219798656268087
2,-0.002775051373325031,0.0036241031765052428,0.44384241686551984,-0.009878293599275306,0.004328190852625245
3,-0.0008703230450607564,0.004899383900387522,0.8590062714882154,-0.010473115489820299,0.008732469399698786
