treated_user_id,control_user_id,first_direct_ai_month_index,first_direct_ai_month,distance
12829049,5749,601,2020-02,0.7638642624041778
231238,4794,602,2020-03,0.0
13072764,5749,602,2020-03,1.3140424509334865
5453699,1827,603,2020-04,0.6967927531561169
6261748,1827,604,2020-05,0.7097686185273361
12528017,4068,604,2020-05,0.7097747939387035
4008485,12870,605,2020-06,0.0
9414122,5749,605,2020-06,0.0
5332229,1953,606,2020-07,0.6542071338655013
3029322,2661,607,2020-08,0.6445191857874022
11263621,15479,607,2020-08,0.6445229275720108
14117600,18858,607,2020-08,0.6445266694006795
6246159,322,608,2020-09,0.6862206370486669
10456525,1792858,609,2020-10,8.833910484724234e-06
436035,2683,610,2020-11,0.6413483283584941
5013467,5775,611,2020-12,0.6528700697018964
13337635,14540754,613,2021-02,1.9942282070086503
13012792,635,614,2021-03,0.6271416712687334
13782227,13712490,614,2021-03,0.890622121774169
12491964,672305,617,2021-06,0.0
15915226,108802,617,2021-06,0.6193827075686554
16343968,171121,617,2021-06,0.6193867638860275
3030243,40064,618,2021-07,0.0
11333098,17833,618,2021-07,1.0168577738910463
13531125,9908,618,2021-07,0.6249953809646192
13710015,14677435,619,2021-08,0.35137567109193857
16118971,9908,619,2021-08,0.6166194152370387
2632462,4177,621,2021-10,0.6224215763811861
4384238,4925548,621,2021-10,0.4573689063535241
15363651,113586,621,2021-10,0.6224028826741882
17139319,407758,621,2021-10,0.6224071925494359
2218253,4177,622,2021-11,0.6178901284890073
13910444,72793,622,2021-11,0.6178945000628697
16882363,672,622,2021-11,0.0
17417337,113586,622,2021-11,0.617903550126235
12361037,14343,623,2021-12,0.0
16257878,45580,623,2021-12,0.6147948859282611
205185,1448679,624,2022-01,0.020016403888354208
8613875,85615,624,2022-01,0.6172506971289422
16608205,129870,624,2022-01,0.6172552192423508
17132650,216605,624,2022-01,0.6172597414229479
2293224,4544413,625,2022-02,0.0
10570671,62898,625,2022-02,0.6171066168379875
10750589,129870,625,2022-02,0.6171111681765034
13887492,216605,625,2022-02,0.6171157195830892
6191855,210623,626,2022-03,1.038064486181982
9495110,201657,626,2022-03,0.0
11410327,14033963,626,2022-03,0.0
11833240,179583,626,2022-03,0.6093560465532813
934557,64967,627,2022-04,0.6046587740268695
15487503,209882,627,2022-04,0.6046632374996412
16448133,214526,627,2022-04,0.6046677010391973
7791036,13447,628,2022-05,1.0488908933818633
15547671,78712,628,2022-05,0.5999688006339827
19102502,127427,628,2022-05,0.5999732131089291
14666088,51197,629,2022-06,0.595276256539952
18564668,3848,629,2022-06,0.0
2195440,10658339,630,2022-07,0.006599312276718346
6598627,4670,630,2022-07,0.0
7353402,11182,630,2022-07,1.050647884521758
8992678,18756,630,2022-07,0.0
19453849,62873,630,2022-07,0.5875020824771261
1672528,4594,631,2022-08,0.0
3591044,261112,631,2022-08,0.0
8084141,85467,631,2022-08,0.5825044962807067
15152059,191741,631,2022-08,0.5825088010898778
19872258,516830,631,2022-08,0.5825131059634923
395857,7648881,632,2022-09,0.0
13071024,121595,632,2022-09,0.0
14606987,4333490,632,2022-09,3.65136774212519
5157277,56543,633,2022-10,0.5752035936209069
10137046,404,633,2022-10,0.0
17646343,1617563,633,2022-10,0.0
20265876,147418,633,2022-10,0.5752052946888531
139150,9776699,634,2022-11,0.05362988326240843
320738,163573,634,2022-11,0.5745179605728252
11805611,16007,634,2022-11,1.0493969540556194
16021065,192801,634,2022-11,0.5745197416029373
18466702,223520,634,2022-11,0.5745241299791537
18839056,343302,634,2022-11,0.5745285184232675
19152117,246241,634,2022-11,0.0
54680,23528,635,2022-12,0.0
145504,2387564,635,2022-12,4.767335559099315
167958,79470,635,2022-12,0.5627603977594202
238704,1968,635,2022-12,0.0
349130,6610,635,2022-12,0.0
441757,21061,635,2022-12,0.0
1322168,190791,635,2022-12,0.5627328275770722
1595451,2627243,635,2022-12,0.00024533643052747817
2636579,76701,635,2022-12,0.0
2851791,372429,635,2022-12,0.5627302612553126
4653234,841614,635,2022-12,0.5627345744400983
4684797,5659025,635,2022-12,0.09125668002996734
5153354,4242086,635,2022-12,0.8073004713984588
5457853,496854,635,2022-12,8.94365008553101
7954236,930071,635,2022-12,0.5627115926819093
9230223,1031219,635,2022-12,0.5627159058171383
9286924,316082,635,2022-12,0.0024921323588733934
9802837,271388,635,2022-12,0.0
10601203,1739193,635,2022-12,0.000677493549280896
10669875,100297,635,2022-12,0.0
12792811,1085068,635,2022-12,0.5626771190326203
13583510,5692012,635,2022-12,2.208510784316494
13745926,1341024,635,2022-12,0.5626611271016242
17313891,1662932,635,2022-12,0.5626654400450009
17789855,1671693,635,2022-12,0.5626697530553226
18206236,1709792,635,2022-12,0.5626740661325919
18678344,2079023,635,2022-12,0.0
19239218,2105339,635,2022-12,0.5626649310421759
19311647,6976,635,2022-12,0.0
19730434,151312,635,2022-12,0.0
20037042,14672114,635,2022-12,0.0007257841520525633
20258209,2134767,635,2022-12,0.5626737181260979
20379683,2594171,635,2022-12,0.5626780314132783
20626408,2727028,635,2022-12,0.5626823447674134
20729325,2740831,635,2022-12,0.5626866581885045
20739566,2741711,635,2022-12,0.5626909716765532
20754697,2985753,635,2022-12,0.5626952852315609
20787987,3099733,635,2022-12,0.5626995988535299
20802280,3119822,635,2022-12,0.5627039125424602
20827289,3137396,635,2022-12,0.5627082262983556
20843706,3165683,635,2022-12,0.5627125401212154
20898155,3465514,635,2022-12,0.5627168540110432
169992,218349,636,2023-01,0.05664531844681158
533912,147202,636,2023-01,0.5539141500642634
695364,8845480,636,2023-01,0.0008543061711666139
743464,78738,636,2023-01,0.0
968273,749515,636,2023-01,0.0
1650337,356849,636,2023-01,0.0
1826066,20358,636,2023-01,0.0
2016831,29467,636,2023-01,0.0
2306481,17300,636,2023-01,0.0
2673005,150684,636,2023-01,0.5538457184477246
3137471,261112,636,2023-01,0.5538500514013386
3824084,279591,636,2023-01,0.5538543844235874
5145944,42911,636,2023-01,0.0
5440883,12458846,636,2023-01,0.603766834248703
7349509,427494,636,2023-01,0.5538626115561033
7424038,748503,636,2023-01,0.00020736843973336724
7733418,17833,636,2023-01,1.036245663903558
9173921,712605,636,2023-01,0.5538490252344499
9891374,822896,636,2023-01,0.5538533584300286
10333120,10756,636,2023-01,0.0
10429169,88122,636,2023-01,1.0362684465111802
12291500,831264,636,2023-01,0.5538617213791577
12368370,122313,636,2023-01,0.0
12509961,1073476,636,2023-01,0.5538531796958674
13570378,1184899,636,2023-01,0.5538575130631668
14987766,1192246,636,2023-01,0.5538618464991146
15057914,46407,636,2023-01,0.0
15380112,1357340,636,2023-01,0.5538707639248178
15605719,1429402,636,2023-01,0.5538750975683105
15812432,1488274,636,2023-01,0.5538794312804568
16379770,561710,636,2023-01,0.0
17127546,1528840,636,2023-01,0.553884917209646
17564315,22136,636,2023-01,0.0
18128408,15610685,636,2023-01,0.0
19235423,3561,636,2023-01,0.0
19528122,1676638,636,2023-01,0.0
20197177,1536437,636,2023-01,0.5538832182293965
20200925,3331,636,2023-01,0.0
20234674,1224,636,2023-01,0.0
20451674,1539757,636,2023-01,0.5538958307883555
20920901,1779114,636,2023-01,0.5539001650258926
20922286,1851402,636,2023-01,0.5539044993321
20933159,2042389,636,2023-01,0.5539088337069794
20933237,2088697,636,2023-01,0.5539131681505319
20941855,2181056,636,2023-01,0.5539175026627601
20941867,2402166,636,2023-01,0.5539218372436653
20948266,2476009,636,2023-01,0.5539261718932489
21062602,2573881,636,2023-01,0.5539305066115129
21074993,3103767,636,2023-01,0.5539348413984585
21089052,3180638,636,2023-01,0.5539391762540876
21092109,3624171,636,2023-01,0.5539435111784019
21103831,4238854,636,2023-01,0.5539478461714026
21103982,4296772,636,2023-01,0.5539521812330921
21106236,4355561,636,2023-01,0.5539565163634715
63550,50959,637,2023-02,0.5444797078532372
84592,147202,637,2023-02,0.5444840760980785
224132,16895640,637,2023-02,0.010858304401980394
246724,339070,637,2023-02,0.0
328193,519413,637,2023-02,0.001303977479786228
527965,261112,637,2023-02,0.5444894239390377
544825,7430727,637,2023-02,0.00031122979212937565
753632,668320,637,2023-02,0.0
874188,4834,637,2023-02,0.0011360566627029106
1363098,279591,637,2023-02,0.5444665462719821
1847112,712605,637,2023-02,0.5444709145535321
3019570,822896,637,2023-02,0.5444752829060343
3097922,831264,637,2023-02,0.5444796513294905
3139690,132599,637,2023-02,0.0
3689450,975164,637,2023-02,0.0
4369251,7018,637,2023-02,0.0
4642212,143475,637,2023-02,0.0
4688321,13447,637,2023-02,1.0173996310021616
4932122,1073476,637,2023-02,0.5444642789907498
8223894,46407,637,2023-02,0.0
9720696,8260088,637,2023-02,0.0
10231120,1184899,637,2023-02,0.5444712781476547
10231447,1192246,637,2023-02,0.5444756467997586
10347145,17447,637,2023-02,0.0
11079607,1357340,637,2023-02,0.5444663170916816
11205931,1488274,637,2023-02,0.5444706857813504
11818002,1528840,637,2023-02,0.5444750545419852
12349367,1536437,637,2023-02,0.544479423373587
