rel_month,coef,se,pval,ci_low,ci_high
-18,-0.011692268461405687,0.005875789312230787,0.046601290285126155,-0.02320881551337803,-0.00017572140943334334
-17,-0.006726894608113258,0.004151403889899163,0.10514846152852188,-0.014863646232315618,0.001409857016089101
-16,-0.011069695898112162,0.005534219847405656,0.04547575882110136,-0.021916766799027248,-0.00022262499719707604
-15,-0.01196972073119542,0.005143988971601464,0.019968800024555044,-0.02205193911553429,-0.0018875023468565514
-14,-0.005211996026042033,0.005512992730311054,0.3444535266811294,-0.016017461777451697,0.0055934697253676325
-13,-0.005284437932101243,0.008175951836526146,0.5180597251583091,-0.02130930353169249,0.010740427667490005
-12,0.0015421605528409855,0.004749992885237575,0.7454339714020399,-0.00776782550222466,0.010852146607906631
-11,0.0028282888651706833,0.006868349018343721,0.6804964015007178,-0.01063367521078301,0.016290252941124378
-10,0.00038095034824001117,0.004220906292246174,0.9280860001735247,-0.007892025984562491,0.008653926681042513
-9,-0.006375084998307291,0.005758735129148435,0.2682815249398629,-0.017662205851438226,0.004912035854823643
-8,0.008441677678587743,0.0075275466879682375,0.2621014247756309,-0.0063123138298300015,0.02319566918700549
-7,0.005627145513941244,0.0025208723425129242,0.025600325218796748,0.0006862357226159127,0.010568055305266576
-6,-0.0014712171928270325,0.0033649102524322527,0.6619494075614951,-0.008066441287594248,0.005124006901940183
-5,0.014033250018623718,0.005138493721295283,0.006314158925568739,0.003961802324884963,0.024104697712362472
-4,-0.003681298180317559,0.005020272161685935,0.4633836612347101,-0.013521031617221992,0.006158435256586874
-3,0.004368683693499596,0.003476989282874809,0.20895072586114694,-0.0024462153009350293,0.011183582687934221
-2,0.00449905274527828,0.0071715843353076705,0.5304335532044897,-0.009557252551924755,0.018555358042481315
0,0.011243179199557266,0.006598555934214283,0.0884026100700258,-0.0016899904315027282,0.02417634883061726
1,-0.0030012001219540257,0.004704591213378625,0.5235192135378977,-0.01222219890017613,0.006219798656268078
2,-0.0027750513733250243,0.003624103176505256,0.4438424168655227,-0.009878293599275327,0.004328190852625278
3,-0.0008703230450607391,0.004899383900387537,0.8590062714882186,-0.010473115489820313,0.008732469399698834
