specification,draw,coef,actual_coef
novice_entry_share,0,0.003460539817146436,0.005759913227238719
novice_entry_share,1,0.007630721255120736,0.005759913227238719
novice_entry_share,2,-0.0022586594634251026,0.005759913227238719
novice_entry_share,3,0.005111908762360665,0.005759913227238719
novice_entry_share,4,0.007661885470973259,0.005759913227238719
novice_entry_share,5,-0.007439762174500056,0.005759913227238719
novice_entry_share,6,-0.00330046379046968,0.005759913227238719
novice_entry_share,7,-0.00187626050298065,0.005759913227238719
novice_entry_share,8,-0.003516959603573993,0.005759913227238719
novice_entry_share,9,-0.011092688798387037,0.005759913227238719
novice_entry_share,10,-0.0017218149542580108,0.005759913227238719
novice_entry_share,11,-0.008429604257103183,0.005759913227238719
novice_entry_share,12,0.004128231762865993,0.005759913227238719
novice_entry_share,13,0.007480214480757837,0.005759913227238719
novice_entry_share,14,-0.004437650702869957,0.005759913227238719
novice_entry_share,15,-0.011882321553752299,0.005759913227238719
novice_entry_share,16,0.0003726108078424957,0.005759913227238719
novice_entry_share,17,-0.007601895427987326,0.005759913227238719
novice_entry_share,18,0.01148837948759932,0.005759913227238719
novice_entry_share,19,0.0019221536105392678,0.005759913227238719
novice_entry_share,20,-0.0014543459152782565,0.005759913227238719
novice_entry_share,21,0.002243422405765866,0.005759913227238719
novice_entry_share,22,0.007501504296373741,0.005759913227238719
novice_entry_share,23,0.008136185865723025,0.005759913227238719
novice_entry_share,24,0.0024153054011926104,0.005759913227238719
novice_entry_share,25,-0.014572527842890277,0.005759913227238719
novice_entry_share,26,-0.005319286700511769,0.005759913227238719
novice_entry_share,27,0.002113198548069274,0.005759913227238719
novice_entry_share,28,0.005466992105500734,0.005759913227238719
novice_entry_share,29,-0.0010990141117223071,0.005759913227238719
novice_entry_share,30,0.0025039357240000176,0.005759913227238719
novice_entry_share,31,-0.0039639975913001065,0.005759913227238719
novice_entry_share,32,0.008703571315850792,0.005759913227238719
novice_entry_share,33,-0.004389729865982096,0.005759913227238719
novice_entry_share,34,-0.011359465805151405,0.005759913227238719
novice_entry_share,35,0.007381346555231799,0.005759913227238719
novice_entry_share,36,-0.0027382085012064377,0.005759913227238719
novice_entry_share,37,0.011800457932709441,0.005759913227238719
novice_entry_share,38,-0.007789361484690525,0.005759913227238719
novice_entry_share,39,0.003707185530524331,0.005759913227238719
novice_entry_share,40,0.010622231912956515,0.005759913227238719
novice_entry_share,41,0.0004986307728842728,0.005759913227238719
novice_entry_share,42,-0.007477630913619094,0.005759913227238719
novice_entry_share,43,0.0017632609652381047,0.005759913227238719
novice_entry_share,44,-0.004319330896134789,0.005759913227238719
novice_entry_share,45,-0.0104378478772547,0.005759913227238719
novice_entry_share,46,-0.01241633485177022,0.005759913227238719
novice_entry_share,47,0.004722263123599572,0.005759913227238719
novice_entry_share,48,0.0019136094878055222,0.005759913227238719
novice_entry_share,49,0.010327253432819792,0.005759913227238719
novice_entry_share,50,-0.005991755530690924,0.005759913227238719
novice_entry_share,51,0.0011011890627997622,0.005759913227238719
novice_entry_share,52,-0.005020384861187216,0.005759913227238719
novice_entry_share,53,-0.00851393984710144,0.005759913227238719
novice_entry_share,54,0.0047637251555374596,0.005759913227238719
novice_entry_share,55,0.0054986390640269205,0.005759913227238719
novice_entry_share,56,0.007285322367452121,0.005759913227238719
novice_entry_share,57,0.006411713632563296,0.005759913227238719
novice_entry_share,58,0.005032235453153736,0.005759913227238719
novice_entry_share,59,-0.012989258407773029,0.005759913227238719
novice_entry_share,60,0.008719475578056888,0.005759913227238719
novice_entry_share,61,-0.003329134945411549,0.005759913227238719
novice_entry_share,62,0.008017508468239041,0.005759913227238719
novice_entry_share,63,0.0006499939835120739,0.005759913227238719
novice_entry_share,64,-0.011104212450366536,0.005759913227238719
novice_entry_share,65,0.010824577568083584,0.005759913227238719
novice_entry_share,66,-0.000722859201947461,0.005759913227238719
novice_entry_share,67,-0.007715081370170449,0.005759913227238719
novice_entry_share,68,0.00989671046100744,0.005759913227238719
novice_entry_share,69,0.00887647675645794,0.005759913227238719
novice_entry_share,70,5.607303169403942e-05,0.005759913227238719
novice_entry_share,71,0.010447931939553052,0.005759913227238719
novice_entry_share,72,-0.012666210011848516,0.005759913227238719
novice_entry_share,73,0.011659102543331395,0.005759913227238719
novice_entry_share,74,-0.0018891741798937787,0.005759913227238719
novice_entry_share,75,-0.007187959991736773,0.005759913227238719
novice_entry_share,76,0.009590542005213894,0.005759913227238719
novice_entry_share,77,0.0032207410293060785,0.005759913227238719
novice_entry_share,78,0.011202251003868513,0.005759913227238719
novice_entry_share,79,-0.005760003336366662,0.005759913227238719
novice_entry_share,80,0.00451203295514951,0.005759913227238719
novice_entry_share,81,-0.008766160439275961,0.005759913227238719
novice_entry_share,82,0.003705518151020514,0.005759913227238719
novice_entry_share,83,-0.00934615676592453,0.005759913227238719
novice_entry_share,84,0.0033310728216674307,0.005759913227238719
novice_entry_share,85,-0.012412015378712823,0.005759913227238719
novice_entry_share,86,0.00977536951805176,0.005759913227238719
novice_entry_share,87,6.856930105908893e-05,0.005759913227238719
novice_entry_share,88,0.002913600476442914,0.005759913227238719
novice_entry_share,89,-0.007443202941287243,0.005759913227238719
novice_entry_share,90,0.005390617231431233,0.005759913227238719
novice_entry_share,91,-0.005731975369511907,0.005759913227238719
novice_entry_share,92,0.0008855204051713712,0.005759913227238719
novice_entry_share,93,0.0013832248915587957,0.005759913227238719
novice_entry_share,94,-0.009110636846030562,0.005759913227238719
novice_entry_share,95,0.0002040570056106119,0.005759913227238719
novice_entry_share,96,0.004354776036888664,0.005759913227238719
