variant,formula,coef,se,pval,nobs,r2,sign_matches_baseline,retained_share_of_baseline,absolute_retained_share
baseline,novice_entry_share ~ exposure_post + C(primary_tag) + C(month_id),0.062212448101730766,0.017829696565337994,0.0004843596763434069,1145.0,0.9767446431617944,1,1.0,1.0
complexity_index,novice_entry_share ~ exposure_post + complexity_index_mean + C(primary_tag) + C(month_id),0.06437616673687528,0.01776154410086575,0.00028955569948185394,1145.0,0.9772693606165299,1,1.0347795128011419,1.0347795128011419
text_shape_bundle,novice_entry_share ~ exposure_post + title_length_chars_mean + body_word_count_mean + code_block_count_mean + code_char_count_mean + error_keyword_density_mean + tag_count_full_mean + C(primary_tag) + C(month_id),0.05893990966013286,0.017126004130192364,0.0005784027835230987,1145.0,0.9791069897637027,1,0.9473973691527682,0.9473973691527682
shape_share_bundle,novice_entry_share ~ exposure_post + shape_q2_share + shape_q3_share + shape_q4_share + C(primary_tag) + C(month_id),0.06261606824298424,0.01735213302369939,0.0003079112186762926,1145.0,0.9772775550917397,1,1.0064877713957416,1.0064877713957416
full_question_mix_bundle,novice_entry_share ~ exposure_post + title_length_chars_mean + body_word_count_mean + code_block_count_mean + code_char_count_mean + error_keyword_density_mean + tag_count_full_mean + shape_q2_share + shape_q3_share + shape_q4_share + C(primary_tag) + C(month_id),0.05511929776536354,0.017243608476059716,0.0013910293873279106,1145.0,0.9793909012102444,1,0.8859850310862483,0.8859850310862483
